trait1	trait2	rg	se	z	p	n_snps	valid_alleles	trait1_h2	trait1_h2_se	trait2_h2	trait2_h2_se	trait1_intercept	trait1_intercept_se	trait2_intercept	trait2_intercept_se	gencov_intercept	gencov_intercept_se
ret_rnfl_left	ret_crve	-0.0559	0.0765	-0.731	0.4648	919545	897632	0.1296	0.0206	0.0826	0.0179	1.0159	0.0102	1.0241	0.0107	-0.027	0.0049
ret_rnfl_left	ret_avr	0.1059	0.0814	1.3004	0.1934	919545	897611	0.1296	0.0206	0.0472	0.011	1.0159	0.0102	0.9952	0.0085	-0.0009	0.005
ret_rnfl_left	ret_art_density	0.0025	0.065	0.0379	0.9698	919545	897611	0.1296	0.0206	0.0788	0.0089	1.0159	0.0102	1.0318	0.0075	-0.0394	0.0053
ret_rnfl_left	ret_ven_density	-0.0995	0.0775	-1.283	0.1995	919545	897610	0.1296	0.0206	0.0682	0.0081	1.0159	0.0102	1.0453	0.0078	-0.0572	0.0052
ret_rnfl_left	ret_bifurcations	-0.0621	0.0731	-0.849	0.3959	919545	897618	0.1296	0.0206	0.0691	0.007	1.0159	0.0102	1.0424	0.0075	-0.0602	0.0051
ret_gcipl_left	ret_inl_left	0.6423	0.0391	16.4466	8.8773e-61	919544	919544	0.1744	0.0193	0.2635	0.0387	1.056	0.0106	1.0527	0.015	0.6186	0.0099
ret_gcipl_left	ret_inl_elm_left	0.2868	0.1186	2.4178	0.0156	919544	919544	0.1744	0.0193	0.3358	0.0774	1.056	0.0106	1.0298	0.0264	0.2718	0.0088
ret_gcipl_left	ret_onl_mean	0.1916	0.1252	1.5307	0.1258	919544	916771	0.1744	0.0193	0.3387	0.0954	1.056	0.0106	1.0412	0.0213	0.1102	0.0079
ret_gcipl_left	ret_elm_isos_left	0.0832	0.0708	1.1753	0.2399	919544	919544	0.1744	0.0193	0.1337	0.0224	1.056	0.0106	1.0031	0.0105	-0.0465	0.0059
ret_gcipl_left	ret_isos_rpe_left	-0.0662	0.0623	-1.0622	0.2881	919544	919543	0.1744	0.0193	0.1462	0.0194	1.056	0.0106	1.0147	0.0115	0.0109	0.0057
ret_gcipl_left	ret_macular_total_left	0.7474	0.0416	17.966	3.5977e-72	919544	919544	0.1744	0.0193	0.2444	0.0258	1.056	0.0106	1.0436	0.0125	0.7543	0.0102
ret_gcipl_left	ret_art_tort	-0.0693	0.048	-1.4446	0.1486	919544	897615	0.1744	0.0193	0.1559	0.024	1.056	0.0106	1.1085	0.0253	0.0069	0.0056
ret_gcipl_left	ret_ven_tort	-0.0328	0.0502	-0.6531	0.5137	919544	897623	0.1744	0.0193	0.0915	0.0195	1.056	0.0106	1.0469	0.0101	-0.04	0.005
ret_gcipl_left	ret_crae	-0.3937	0.0657	-5.9959	2.0231e-09	919544	897603	0.1744	0.0193	0.0659	0.0077	1.056	0.0106	1.0037	0.0071	-0.1229	0.0054
ret_gcipl_left	ret_crve	-0.4284	0.0536	-7.9902	1.3474e-15	919544	897632	0.1744	0.0193	0.0826	0.0179	1.056	0.0106	1.0241	0.0107	-0.1464	0.0062
ret_gcipl_left	ret_avr	0.0661	0.0709	0.9315	0.3516	919544	897611	0.1744	0.0193	0.0472	0.011	1.056	0.0106	0.9952	0.0085	0.0135	0.0051
ret_gcipl_left	ret_art_density	-0.2392	0.0583	-4.1032	4.0748e-05	919544	897611	0.1744	0.0193	0.0788	0.0089	1.056	0.0106	1.0318	0.0075	-0.0901	0.0054
ret_gcipl_left	ret_ven_density	-0.1529	0.0621	-2.4628	0.0138	919544	897610	0.1744	0.0193	0.0682	0.0081	1.056	0.0106	1.0453	0.0078	-0.0689	0.0053
ret_gcipl_left	ret_bifurcations	-0.1474	0.0584	-2.5222	0.0117	919544	897618	0.1744	0.0193	0.0691	0.007	1.056	0.0106	1.0424	0.0075	-0.066	0.0052
ret_inl_left	ret_inl_elm_left	0.3127	0.1183	2.6436	0.0082	919544	919544	0.2635	0.0387	0.3358	0.0774	1.0527	0.015	1.0298	0.0264	0.4304	0.0101
ret_inl_left	ret_onl_mean	0.2705	0.131	2.0648	0.0389	919544	916771	0.2635	0.0387	0.3387	0.0954	1.0527	0.015	1.0412	0.0213	0.2158	0.0086
ret_inl_left	ret_elm_isos_left	0.1201	0.0975	1.2318	0.218	919544	919544	0.2635	0.0387	0.1337	0.0224	1.0527	0.015	1.0031	0.0105	-0.0084	0.0083
ret_inl_left	ret_isos_rpe_left	0.052	0.0607	0.8568	0.3915	919544	919543	0.2635	0.0387	0.1462	0.0194	1.0527	0.015	1.0147	0.0115	0.0297	0.0069
ret_inl_left	ret_macular_total_left	0.6605	0.0457	14.4419	2.8201e-47	919544	919544	0.2635	0.0387	0.2444	0.0258	1.0527	0.015	1.0436	0.0125	0.683	0.0115
ret_inl_left	ret_art_tort	-0.0388	0.0522	-0.742	0.4581	919544	897615	0.2635	0.0387	0.1559	0.024	1.0527	0.015	1.1085	0.0253	0.0183	0.0066
ret_inl_left	ret_ven_tort	-0.1424	0.05	-2.8464	0.0044	919544	897623	0.2635	0.0387	0.0915	0.0195	1.0527	0.015	1.0469	0.0101	-0.0437	0.0059
ret_inl_left	ret_crae	-0.3471	0.0596	-5.8267	5.6549e-09	919544	897603	0.2635	0.0387	0.0659	0.0077	1.0527	0.015	1.0037	0.0071	-0.0948	0.0055
ret_inl_left	ret_crve	-0.4205	0.0863	-4.8747	1.0895e-06	919544	897632	0.2635	0.0387	0.0826	0.0179	1.0527	0.015	1.0241	0.0107	-0.126	0.0097
ret_inl_left	ret_avr	0.0861	0.121	0.712	0.4765	919544	897611	0.2635	0.0387	0.0472	0.011	1.0527	0.015	0.9952	0.0085	0.0218	0.0077
ret_inl_left	ret_art_density	-0.2132	0.0601	-3.5467	0.0004	919544	897611	0.2635	0.0387	0.0788	0.0089	1.0527	0.015	1.0318	0.0075	-0.0814	0.0057
ret_inl_left	ret_ven_density	-0.1298	0.0615	-2.1115	0.0347	919544	897610	0.2635	0.0387	0.0682	0.0081	1.0527	0.015	1.0453	0.0078	-0.0665	0.0055
ret_inl_left	ret_bifurcations	-0.0802	0.0674	-1.1895	0.2342	919544	897618	0.2635	0.0387	0.0691	0.007	1.0527	0.015	1.0424	0.0075	-0.0575	0.0057
ret_inl_elm_left	ret_onl_mean	0.9818	0.0161	61.0705	0.0	919544	916771	0.3357	0.0776	0.3387	0.0954	1.0303	0.0265	1.0412	0.0213	0.5904	0.0223
ret_inl_elm_left	ret_elm_isos_left	0.5035	0.0718	7.014	2.3156e-12	919544	919544	0.3357	0.0776	0.1337	0.0224	1.0303	0.0265	1.0031	0.0105	0.2386	0.0109
ret_inl_elm_left	ret_isos_rpe_left	0.0969	0.063	1.5364	0.1244	919544	919543	0.3357	0.0776	0.1462	0.0194	1.0303	0.0265	1.0147	0.0115	-0.0228	0.0075
ret_inl_elm_left	ret_macular_total_left	0.7343	0.0351	20.8934	6.1481e-97	919544	919544	0.3357	0.0776	0.2444	0.0258	1.0303	0.0265	1.0436	0.0125	0.6304	0.0114
ret_inl_elm_left	ret_art_tort	-0.1266	0.0501	-2.5249	0.0116	919544	897615	0.3357	0.0776	0.1559	0.024	1.0303	0.0265	1.1085	0.0253	-0.02	0.0066
ret_inl_elm_left	ret_ven_tort	-0.1933	0.0572	-3.3797	0.0007	919544	897623	0.3357	0.0776	0.0915	0.0195	1.0303	0.0265	1.0469	0.0101	-0.0584	0.0069
ret_inl_elm_left	ret_crae	-0.3629	0.0581	-6.2504	4.0948e-10	919544	897603	0.3357	0.0776	0.0659	0.0077	1.0303	0.0265	1.0037	0.0071	-0.0935	0.0062
ret_inl_elm_left	ret_crve	-0.2761	0.0682	-4.0469	5.1908e-05	919544	897632	0.3357	0.0776	0.0826	0.0179	1.0303	0.0265	1.0241	0.0107	-0.0968	0.0067
ret_inl_elm_left	ret_avr	-0.0572	0.0683	-0.8381	0.402	919544	897611	0.3357	0.0776	0.0472	0.011	1.0303	0.0265	0.9952	0.0085	-0.0023	0.0054
ret_inl_elm_left	ret_art_density	-0.301	0.051	-5.9008	3.6182e-09	919544	897611	0.3357	0.0776	0.0788	0.0089	1.0303	0.0265	1.0318	0.0075	-0.0736	0.0055
ret_inl_elm_left	ret_ven_density	-0.1481	0.0655	-2.2593	0.0239	919544	897610	0.3357	0.0776	0.0682	0.0081	1.0303	0.0265	1.0453	0.0078	-0.0378	0.0058
ret_inl_elm_left	ret_bifurcations	-0.1426	0.0628	-2.2696	0.0232	919544	897618	0.3357	0.0776	0.0691	0.007	1.0303	0.0265	1.0424	0.0075	-0.0259	0.0059
ret_onl_mean	ret_elm_isos_left	0.5518	0.0712	7.7475	9.3701e-15	1161931	916772	0.3387	0.0954	0.1334	0.0225	1.0412	0.0213	1.0036	0.0105	0.1849	0.0101
ret_onl_mean	ret_isos_rpe_left	0.1195	0.0622	1.9232	0.0545	1161931	916771	0.3387	0.0954	0.1464	0.0193	1.0412	0.0213	1.0146	0.0116	-0.0011	0.0065
ret_onl_mean	ret_macular_total_left	0.6862	0.049	13.9947	1.6787e-44	1161931	916771	0.3387	0.0954	0.2443	0.0259	1.0412	0.0213	1.0442	0.0123	0.3766	0.0092
ret_onl_mean	ret_art_tort	-0.0892	0.0476	-1.8734	0.061	1161931	1136199	0.3387	0.0954	0.1613	0.0241	1.0412	0.0213	1.0755	0.0216	-0.0167	0.0056
ret_onl_mean	ret_ven_tort	-0.1653	0.0627	-2.6369	0.0084	1161931	1136199	0.3387	0.0954	0.0985	0.0233	1.0412	0.0213	1.0238	0.0092	-0.0396	0.0055
ret_onl_mean	ret_crae	-0.4279	0.069	-6.2052	5.4629e-10	1161931	1136199	0.3387	0.0954	0.0637	0.0077	1.0412	0.0213	0.9881	0.0066	-0.0693	0.0056
ret_onl_mean	ret_crve	-0.2623	0.0765	-3.4304	0.0006	1161931	1136199	0.3387	0.0954	0.0832	0.0175	1.0412	0.0213	1.0077	0.0103	-0.073	0.0057
ret_onl_mean	ret_avr	-0.1247	0.0734	-1.698	0.0895	1161931	1136199	0.3387	0.0954	0.0494	0.0105	1.0412	0.0213	0.9799	0.0078	-0.0018	0.0049
ret_onl_mean	ret_art_density	-0.225	0.049	-4.5905	4.4211e-06	1161931	1136199	0.3387	0.0954	0.0759	0.008	1.0412	0.0213	1.0145	0.0071	-0.0591	0.005
ret_onl_mean	ret_ven_density	-0.0777	0.0583	-1.3332	0.1825	1161931	1136199	0.3387	0.0954	0.0634	0.0082	1.0412	0.0213	1.0347	0.0076	-0.0275	0.0049
ret_onl_mean	ret_bifurcations	-0.0341	0.0526	-0.647	0.5176	1161931	1136199	0.3387	0.0954	0.0679	0.0068	1.0412	0.0213	1.0271	0.0071	-0.0219	0.0048
ret_elm_isos_left	ret_isos_rpe_left	0.1061	0.0802	1.322	0.1862	919545	919544	0.1337	0.0223	0.1462	0.0194	1.0031	0.0105	1.0147	0.0115	-0.1055	0.0058
ret_elm_isos_left	ret_macular_total_left	0.4281	0.0507	8.4392	3.1948e-17	919545	919544	0.1337	0.0223	0.2444	0.0258	1.0031	0.0105	1.0436	0.0125	0.1417	0.0065
ret_elm_isos_left	ret_art_tort	-0.1546	0.0533	-2.9002	0.0037	919545	897615	0.1337	0.0223	0.1559	0.024	1.0031	0.0105	1.1085	0.0253	0.0006	0.0055
ret_elm_isos_left	ret_ven_tort	-0.0873	0.0646	-1.351	0.1767	919545	897623	0.1337	0.0223	0.0915	0.0195	1.0031	0.0105	1.0469	0.0101	-0.0111	0.0054
ret_elm_isos_left	ret_crae	-0.1986	0.0707	-2.8098	0.005	919545	897603	0.1337	0.0223	0.0659	0.0077	1.0031	0.0105	1.0037	0.0071	-0.0181	0.0051
ret_elm_isos_left	ret_crve	-0.15	0.1375	-1.0913	0.2752	919545	897632	0.1337	0.0223	0.0826	0.0179	1.0031	0.0105	1.0241	0.0107	0.0051	0.0083
ret_elm_isos_left	ret_avr	-0.0261	0.1651	-0.1581	0.8744	919545	897611	0.1337	0.0223	0.0472	0.011	1.0031	0.0105	0.9952	0.0085	-0.0174	0.0069
ret_elm_isos_left	ret_art_density	-0.1402	0.0611	-2.2969	0.0216	919545	897611	0.1337	0.0223	0.0788	0.0089	1.0031	0.0105	1.0318	0.0075	0.0175	0.0047
ret_elm_isos_left	ret_ven_density	-0.0237	0.0684	-0.3458	0.7295	919545	897610	0.1337	0.0223	0.0682	0.0081	1.0031	0.0105	1.0453	0.0078	0.0543	0.0046
ret_elm_isos_left	ret_bifurcations	0.0082	0.0682	0.1196	0.9048	919545	897618	0.1337	0.0223	0.0691	0.007	1.0031	0.0105	1.0424	0.0075	0.0506	0.0047
ret_isos_rpe_left	ret_macular_total_left	0.2462	0.0601	4.1001	4.1305e-05	919544	919543	0.1462	0.0194	0.2444	0.0258	1.0147	0.0115	1.0436	0.0125	0.215	0.0069
ret_isos_rpe_left	ret_art_tort	0.0709	0.0548	1.2926	0.1962	919544	897614	0.1462	0.0194	0.1559	0.024	1.0147	0.0115	1.1085	0.0253	-0.0036	0.0054
ret_isos_rpe_left	ret_ven_tort	0.0141	0.0629	0.2243	0.8225	919544	897622	0.1462	0.0194	0.0915	0.0195	1.0147	0.0115	1.0469	0.0101	-0.0113	0.005
ret_isos_rpe_left	ret_crae	-0.154	0.0628	-2.4536	0.0141	919544	897602	0.1462	0.0194	0.066	0.0077	1.0147	0.0115	1.0037	0.0071	-0.0045	0.0049
ret_isos_rpe_left	ret_crve	-0.0464	0.0598	-0.776	0.4378	919544	897631	0.1462	0.0194	0.0826	0.0179	1.0147	0.0115	1.0241	0.0107	0.002	0.0049
ret_isos_rpe_left	ret_avr	-0.1173	0.0755	-1.5538	0.1202	919544	897610	0.1462	0.0194	0.0472	0.011	1.0147	0.0115	0.9952	0.0085	-0.004	0.0052
ret_isos_rpe_left	ret_art_density	-0.0207	0.0563	-0.3686	0.7124	919544	897610	0.1462	0.0194	0.0788	0.0089	1.0147	0.0115	1.0318	0.0075	0.0114	0.0052
ret_isos_rpe_left	ret_ven_density	-0.0613	0.0763	-0.8029	0.422	919544	897609	0.1462	0.0194	0.0682	0.0081	1.0147	0.0115	1.0453	0.0078	-0.0105	0.0058
ret_isos_rpe_left	ret_bifurcations	-0.095	0.069	-1.3755	0.169	919544	897617	0.1462	0.0194	0.0691	0.007	1.0147	0.0115	1.0424	0.0075	-0.0016	0.0057
ret_macular_total_left	ret_art_tort	-0.0516	0.0464	-1.1128	0.2658	919544	897615	0.247	0.0263	0.1559	0.024	1.0421	0.0126	1.1085	0.0253	0.0024	0.0059
ret_macular_total_left	ret_ven_tort	-0.1338	0.055	-2.4321	0.015	919544	897623	0.247	0.0263	0.0915	0.0195	1.0421	0.0126	1.0469	0.0101	-0.0567	0.0054
ret_macular_total_left	ret_crae	-0.4593	0.0598	-7.6743	1.6628e-14	919544	897603	0.247	0.0263	0.0659	0.0077	1.0421	0.0126	1.0037	0.0071	-0.1278	0.0059
ret_macular_total_left	ret_crve	-0.4074	0.0559	-7.2928	3.0365e-13	919544	897632	0.247	0.0263	0.0826	0.0179	1.0421	0.0126	1.0241	0.0107	-0.1463	0.0074
ret_macular_total_left	ret_avr	-0.0169	0.0877	-0.1928	0.8472	919544	897611	0.247	0.0263	0.0472	0.011	1.0421	0.0126	0.9952	0.0085	0.008	0.006
ret_macular_total_left	ret_art_density	-0.3033	0.0523	-5.8002	6.6238e-09	919544	897611	0.247	0.0263	0.0788	0.0089	1.0421	0.0126	1.0318	0.0075	-0.0944	0.0058
ret_macular_total_left	ret_ven_density	-0.2094	0.0559	-3.748	0.0002	919544	897610	0.247	0.0263	0.0682	0.0081	1.0421	0.0126	1.0453	0.0078	-0.0769	0.0055
ret_macular_total_left	ret_bifurcations	-0.1851	0.055	-3.368	0.0008	919544	897618	0.247	0.0263	0.0691	0.007	1.0421	0.0126	1.0424	0.0075	-0.0663	0.0056
ret_art_tort	ret_ven_tort	0.5544	0.0545	10.1791	2.4591e-24	1143633	1143533	0.1629	0.0241	0.1006	0.0233	1.0694	0.0213	1.0179	0.0091	0.2993	0.0088
ret_art_tort	ret_crae	0.1204	0.0532	2.2624	0.0237	1143633	1143528	0.1629	0.0241	0.065	0.0077	1.0694	0.0213	0.9844	0.0066	0.0436	0.0052
ret_art_tort	ret_crve	0.0368	0.0678	0.5421	0.5877	1143633	1143531	0.1629	0.0241	0.0835	0.0175	1.0694	0.0213	1.0048	0.0103	0.0163	0.0057
ret_art_tort	ret_avr	0.0435	0.0686	0.6341	0.526	1143633	1143531	0.1629	0.0241	0.0497	0.0105	1.0694	0.0213	0.9776	0.0077	0.0311	0.0051
ret_art_tort	ret_art_density	0.1179	0.0559	2.1074	0.0351	1143633	1143524	0.1629	0.0241	0.0759	0.0079	1.0694	0.0213	1.0119	0.007	0.1183	0.0052
ret_art_tort	ret_ven_density	0.0561	0.0603	0.9303	0.3522	1143633	1143524	0.1629	0.0241	0.064	0.0082	1.0694	0.0213	1.0321	0.0074	0.0895	0.0056
ret_art_tort	ret_bifurcations	0.0124	0.0601	0.2061	0.8367	1143633	1143523	0.1629	0.0241	0.0685	0.0067	1.0694	0.0213	1.0244	0.007	0.0412	0.0053
ret_ven_tort	ret_crae	0.0532	0.0721	0.7385	0.4602	1143642	1143531	0.1006	0.0233	0.065	0.0076	1.0179	0.0091	0.9844	0.0066	0.0045	0.0047
ret_ven_tort	ret_crve	-0.0833	0.08	-1.0421	0.2974	1143642	1143535	0.1006	0.0233	0.0835	0.0175	1.0179	0.0091	1.0048	0.0103	-0.0264	0.0052
ret_ven_tort	ret_avr	0.1304	0.0781	1.6698	0.095	1143642	1143524	0.1006	0.0233	0.0497	0.0105	1.0179	0.0091	0.9776	0.0077	0.0327	0.0045
ret_ven_tort	ret_art_density	0.2929	0.0699	4.1913	2.7741e-05	1143642	1143526	0.1006	0.0233	0.0759	0.0079	1.0179	0.0091	1.0118	0.0069	0.2497	0.005
ret_ven_tort	ret_ven_density	0.2835	0.0632	4.4862	7.251e-06	1143642	1143528	0.1006	0.0233	0.064	0.0082	1.0179	0.0091	1.0321	0.0074	0.272	0.0051
ret_ven_tort	ret_bifurcations	0.2302	0.0675	3.4123	0.0006	1143642	1143531	0.1006	0.0233	0.0686	0.0067	1.0179	0.0091	1.0243	0.007	0.2327	0.0049
ret_crae	ret_crve	0.5195	0.0701	7.4123	1.2417e-13	1143623	1143533	0.065	0.0076	0.0835	0.0175	0.9844	0.0066	1.0048	0.0103	0.2303	0.0052
ret_crae	ret_avr	0.4534	0.0898	5.0515	4.3828e-07	1143623	1143532	0.065	0.0076	0.0497	0.0105	0.9844	0.0066	0.9777	0.0077	0.6036	0.005
ret_crae	ret_art_density	0.419	0.0655	6.3929	1.6278e-10	1143623	1143514	0.065	0.0076	0.0759	0.0078	0.9844	0.0066	1.0118	0.0069	0.168	0.0046
ret_crae	ret_ven_density	0.2156	0.0815	2.6462	0.0081	1143623	1143511	0.065	0.0076	0.064	0.0082	0.9844	0.0066	1.0321	0.0073	0.0229	0.0047
ret_crae	ret_bifurcations	0.2063	0.0769	2.6827	0.0073	1143623	1143514	0.065	0.0076	0.0685	0.0067	0.9844	0.0066	1.0243	0.007	0.0283	0.0045
ret_crve	ret_avr	-0.529	0.1034	-5.1156	3.1276e-07	1143641	1143537	0.0835	0.0175	0.0497	0.0105	1.0048	0.0103	0.9777	0.0077	-0.5533	0.0078
ret_crve	ret_art_density	0.1165	0.0702	1.6605	0.0968	1143641	1143524	0.0835	0.0175	0.0759	0.0079	1.0048	0.0103	1.0119	0.0069	0.0926	0.0049
ret_crve	ret_ven_density	0.1686	0.0713	2.3645	0.0181	1143641	1143523	0.0835	0.0175	0.064	0.0082	1.0048	0.0103	1.0322	0.0073	0.1481	0.0051
ret_crve	ret_bifurcations	0.0113	0.0842	0.1345	0.893	1143641	1143521	0.0835	0.0175	0.0685	0.0068	1.0048	0.0103	1.0244	0.007	0.056	0.0054
ret_avr	ret_art_density	0.2806	0.0712	3.9389	8.1863e-05	1143627	1143514	0.0497	0.0105	0.0759	0.0079	0.9776	0.0077	1.0118	0.007	0.0829	0.0049
ret_avr	ret_ven_density	0.0346	0.0911	0.3798	0.7041	1143627	1143515	0.0497	0.0105	0.064	0.0082	0.9776	0.0077	1.0321	0.0073	-0.0866	0.0047
ret_avr	ret_bifurcations	0.1918	0.0876	2.1888	0.0286	1143627	1143518	0.0497	0.0105	0.0685	0.0068	0.9776	0.0077	1.0244	0.007	-0.0092	0.0051
ret_art_density	ret_ven_density	0.8245	0.0283	29.1352	1.2848e-186	1143630	1143565	0.0759	0.0079	0.0641	0.0082	1.0118	0.0069	1.0321	0.0074	0.7993	0.0065
ret_art_density	ret_bifurcations	0.8971	0.0196	45.6621	0.0	1143630	1143567	0.0759	0.0079	0.0686	0.0068	1.0118	0.0069	1.0244	0.007	0.8315	0.0064
ret_ven_density	ret_bifurcations	0.9456	0.0213	44.3952	0.0	1143627	1143570	0.0641	0.0082	0.0686	0.0067	1.0322	0.0074	1.0244	0.007	0.8862	0.0069
