trait1	trait2	rg	se	z	p	n_snps	valid_alleles	trait1_h2	trait1_h2_se	trait2_h2	trait2_h2_se	trait1_intercept	trait1_intercept_se	trait2_intercept	trait2_intercept_se	gencov_intercept	gencov_intercept_se
ret_rnfl_left	ret_gcipl_left	0.3994	0.0653	6.1195	9.3856e-10	919545	919544	0.1296	0.0206	0.1744	0.0193	1.0159	0.0102	1.056	0.0106	0.153	0.0062
ret_rnfl_left	ret_inl_left	0.1487	0.0679	2.1891	0.0286	919545	919544	0.1296	0.0206	0.2635	0.0387	1.0159	0.0102	1.0527	0.015	0.0663	0.0063
ret_rnfl_left	ret_inl_elm_left	-0.1637	0.1205	-1.3577	0.1746	919545	919544	0.1296	0.0206	0.3358	0.0774	1.0159	0.0102	1.0298	0.0264	-0.025	0.0117
ret_rnfl_left	ret_onl_mean	-0.116	0.1471	-0.7886	0.4303	919545	916772	0.1296	0.0206	0.3387	0.0954	1.0159	0.0102	1.0412	0.0213	-0.0006	0.0108
ret_rnfl_left	ret_elm_isos_left	0.0288	0.0956	0.3017	0.7629	919545	919545	0.1296	0.0206	0.1337	0.0224	1.0159	0.0102	1.0031	0.0105	-0.0116	0.0064
ret_rnfl_left	ret_isos_rpe_left	-0.0818	0.0723	-1.1317	0.2578	919545	919544	0.1296	0.0206	0.1462	0.0194	1.0159	0.0102	1.0147	0.0115	-0.037	0.0061
ret_rnfl_left	ret_macular_total_left	0.3673	0.0824	4.4568	8.3195e-06	919545	919544	0.1296	0.0206	0.2444	0.0258	1.0159	0.0102	1.0436	0.0125	0.3975	0.0067
ret_rnfl_left	ret_art_tort	0.1821	0.0563	3.2344	0.0012	919545	897615	0.1296	0.0206	0.1559	0.024	1.0159	0.0102	1.1085	0.0253	0.0138	0.0058
ret_rnfl_left	ret_ven_tort	0.1023	0.0762	1.3413	0.1798	919545	897623	0.1296	0.0206	0.0915	0.0195	1.0159	0.0102	1.0469	0.0101	-0.0028	0.0061
ret_rnfl_left	ret_crae	0.0258	0.0846	0.305	0.7604	919545	897603	0.1296	0.0206	0.0659	0.0077	1.0159	0.0102	1.0037	0.0071	-0.0254	0.0052
