retinal_trait	retinal_domain	systemic_disease	admit_phase1b	admission_reason	p	rg	q_global	q_within_retinal_domain	qc_flag
ret_rnfl_left	neuroretina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.8042	-0.0237	0.9382333333333334	0.9778	PASS
ret_rnfl_left	neuroretina	sys_pd_nalls2019_clinical	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.2808	-0.0726	0.70112	0.8099047619047619	RATIO_NEGATIVE
ret_gcipl_left	neuroretina	sys_stroke_megastroke2018	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0135	0.1615	0.216	0.216	PASS
ret_gcipl_left	neuroretina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.9751	-0.0024	0.9872144144144145	0.9778	PASS
ret_gcipl_left	neuroretina	sys_pd_nalls2019_clinical	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.116	-0.0966	0.5646666666666667	0.8099047619047619	RATIO_NEGATIVE
ret_inl_left	neuroretina	sys_stroke_megastroke2018	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0047	0.1564	0.16352	0.1504	PASS
ret_inl_left	neuroretina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.774	-0.0201	0.9222127659574468	0.9778	PASS
ret_inl_left	neuroretina	sys_pd_nalls2019_clinical	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.2585	-0.0519	0.6893333333333334	0.8099047619047619	RATIO_NEGATIVE
ret_inl_elm_left	neuroretina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.5201	-0.0466	0.7876842105263158	0.8099047619047619	PASS
ret_inl_elm_left	neuroretina	sys_pd_nalls2019_clinical	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.4168	-0.0464	0.7794098360655737	0.8099047619047619	RATIO_NEGATIVE
ret_elm_isos_left	outer_retina	sys_ckd_wuttke2019	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.013	-0.2118	0.216	0.312	PASS
ret_elm_isos_left	outer_retina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.4102	-0.0776	0.7794098360655737	0.7001684210526316	PASS
ret_isos_rpe_left	outer_retina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.2041	-0.1087	0.6848390243902439	0.7001684210526316	PASS
ret_isos_rpe_left	outer_retina	sys_pd_nalls2019_clinical	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0436	0.1231	0.34880000000000005	0.3856	RATIO_NEGATIVE
ret_macular_total_left	outer_retina	sys_ckd_wuttke2019	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0482	-0.1222	0.3528	0.3856	PASS
ret_macular_total_left	outer_retina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.36	-0.0704	0.7607547169811321	0.7001684210526316	PASS
ret_art_tort	microvasculature	sys_cad_nikpay2015	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.3131	-0.0455	0.7305666666666667	0.6493925925925926	RATIO_NEGATIVE
ret_art_tort	microvasculature	sys_stroke_megastroke2018	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.6585	-0.0255	0.8575813953488371	0.8575813953488371	PASS
ret_art_tort	microvasculature	sys_t2d_scott2017	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.7375	-0.0141	0.9020215053763442	0.8737166666666667	PASS
ret_art_tort	microvasculature	sys_ckd_wuttke2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.2143	-0.0695	0.6848390243902439	0.5399692307692308	PASS
ret_ven_tort	microvasculature	sys_cad_nikpay2015	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.5662	-0.0261	0.8027139240506329	0.7961560975609755	RATIO_NEGATIVE
ret_ven_tort	microvasculature	sys_stroke_megastroke2018	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.5184	-0.0467	0.7876842105263158	0.7639578947368421	PASS
ret_ven_tort	microvasculature	sys_t2d_scott2017	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.1276	-0.0758	0.571648	0.39697777777777776	PASS
ret_ven_tort	microvasculature	sys_ckd_wuttke2019	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.0388	-0.1516	0.3428923076923077	0.22288000000000002	PASS
