phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	p_method	retinal_trait	systemic_disease	pair_key	locus_index	locus_id	chr	start	stop	n_snps	univ_p_retina	univ_p_systemic	retinal_domain	admission_reason	p_local_rg	local_rg	q_lava_global	q_lava_pair	qc_flag
ret_elm_isos_left	sys_ckd_wuttke2019	-0.505398	-1	0.48303	0.255427	0	1	0.181594309825596	LAVA_rho_CI_normal_approximation_two_sided	ret_elm_isos_left	sys_ckd_wuttke2019	ret_elm_isos_left__sys_ckd_wuttke2019	1	1	1	10539	1376204	60	0.0306038	0.0118917	outer_retina	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.181594309825596	-0.505398	0.6524861915081479	0.6410813408211319	
ret_art_tort	sys_ckd_wuttke2019	0.62749	0.04424	1	0.393743	0.00861	1	0.0100655180400638	LAVA_rho_CI_normal_approximation_two_sided	ret_art_tort	sys_ckd_wuttke2019	ret_art_tort__sys_ckd_wuttke2019	1	1	1	10539	1376204	60	4.75615e-06	0.0118917	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.0100655180400638	0.62749	0.11028902261547845	0.12792948734790766	
ret_ven_tort	sys_ckd_wuttke2019	0.752053	0.01917	1	0.565584	0.01243	1	0.00265047701825424	LAVA_rho_CI_normal_approximation_two_sided	ret_ven_tort	sys_ckd_wuttke2019	ret_ven_tort__sys_ckd_wuttke2019	1	1	1	10539	1376204	60	0.00587404	0.0118917	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.00265047701825424	0.752053	0.04012867512936377	0.043612394573092496	
ret_crae	sys_ckd_wuttke2019	-0.902852	-1	-0.15664	0.815142	0.03948	1	2.71135916539218e-05	LAVA_rho_CI_normal_approximation_two_sided	ret_crae	sys_ckd_wuttke2019	ret_crae__sys_ckd_wuttke2019	1	1	1	10539	1376204	60	0.0140812	0.0118917	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	2.71135916539218e-05	-0.902852	0.0008960631437813095	0.0012273419155341934	
ret_crae	sys_sle_bentham2015	-0.219143	-1	0.62134	0.0480237	0	1	0.596233993127018	LAVA_rho_CI_normal_approximation_two_sided	ret_crae	sys_sle_bentham2015	ret_crae__sys_sle_bentham2015	1	1	1	10539	1376204	60	0.0140812	0.00101601	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.596233993127018	-0.219143	0.9559895498741747	0.9269696362763804	
ret_crae	sys_ibd_delange2017	0.314765	-0.44073	1	0.0990771	0	1	0.391770825018421	LAVA_rho_CI_normal_approximation_two_sided	ret_crae	sys_ibd_delange2017	ret_crae__sys_ibd_delange2017	1	1	1	10539	1376204	60	0.0140812	0.000294848	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.391770825018421	0.314765	0.8699904367368403	0.8863529391242831	
ret_art_tort	sys_cad_nikpay2015	0.058095	-0.98701	1	0.00337503	0	1	0.908755450150021	LAVA_rho_CI_normal_approximation_two_sided	ret_art_tort	sys_cad_nikpay2015	ret_art_tort__sys_cad_nikpay2015	2	2	1	1376205	2215495	98	0.000770037	0.0284352	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.908755450150021	0.058095	0.9983691496069521	0.9807497833663841	
ret_art_tort	sys_ckd_wuttke2019	0.517529	-0.1823	1	0.267836	0	1	0.0861853275246968	LAVA_rho_CI_normal_approximation_two_sided	ret_art_tort	sys_ckd_wuttke2019	ret_art_tort__sys_ckd_wuttke2019	2	2	1	1376205	2215495	98	0.000770037	0.00513275	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.0861853275246968	0.517529	0.44824235638593113	0.4925128295487753	
ret_macular_total_left	sys_ckd_wuttke2019	-0.355405	-0.99978	0.14286	0.126313	0	1	0.222749924132152	LAVA_rho_CI_normal_approximation_two_sided	ret_macular_total_left	sys_ckd_wuttke2019	ret_macular_total_left__sys_ckd_wuttke2019	3	3	1	2215496	2983519	180	1.9224e-07	0.00277301	outer_retina	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.222749924132152	-0.355405	0.709437123084912	0.714167519914926	
ret_art_tort	sys_cad_nikpay2015	0.0728948	-0.51477	0.68798	0.00531365	0	0.5446	0.812211365464396	LAVA_rho_CI_normal_approximation_two_sided	ret_art_tort	sys_cad_nikpay2015	ret_art_tort__sys_cad_nikpay2015	3	3	1	2215496	2983519	180	0.000215929	0.00031416	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.812211365464396	0.0728948	0.9916542322466443	0.9719010518874018	
ret_art_tort	sys_ckd_wuttke2019	-0.124423	-0.82794	0.52803	0.0154812	0	0.76214	0.719078778908672	LAVA_rho_CI_normal_approximation_two_sided	ret_art_tort	sys_ckd_wuttke2019	ret_art_tort__sys_ckd_wuttke2019	3	3	1	2215496	2983519	180	0.000215929	0.00277301	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.719078778908672	-0.124423	0.9828347560419632	0.987898905085128	
ret_rnfl_left	sys_pd_nalls2019_clinical	-0.0297609	-1	1	0.000885709	0	1	0.953485538941369	LAVA_rho_CI_normal_approximation_two_sided	ret_rnfl_left	sys_pd_nalls2019_clinical	ret_rnfl_left__sys_pd_nalls2019_clinical	4	4	1	2983520	3582047	148	0.049705	0.0135384	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.953485538941369	-0.0297609	0.9985897938128142	0.9912341355120249	
ret_gcipl_left	sys_stroke_megastroke2018	0.985829	0.27144	1	0.971858	0.07995	1	1.13210152697922e-07	LAVA_rho_CI_normal_approximation_two_sided	ret_gcipl_left	sys_stroke_megastroke2018	ret_gcipl_left__sys_stroke_megastroke2018	4	4	1	2983520	3582047	148	0.0243034	0.00820049	neuroretina	NOMINAL_P<0.05_AND_ABS_RG>=0.10	1.13210152697922e-07	0.985829	8.174203715588274e-06	5.3379152892018e-06	
ret_gcipl_left	sys_pd_nalls2019_clinical	0.0159424	-1	1	0.000254159	0	1	0.975072932577129	LAVA_rho_CI_normal_approximation_two_sided	ret_gcipl_left	sys_pd_nalls2019_clinical	ret_gcipl_left__sys_pd_nalls2019_clinical	4	4	1	2983520	3582047	148	0.0243034	0.0135384	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.975072932577129	0.0159424	0.9992837648250956	0.9924161270300819	
ret_art_tort	sys_stroke_megastroke2018	-0.953686	-1	-0.51641	0.909517	0.26668	1	1.0714599683552e-14	LAVA_rho_CI_normal_approximation_two_sided	ret_art_tort	sys_stroke_megastroke2018	ret_art_tort__sys_stroke_megastroke2018	4	4	1	2983520	3582047	148	6.06171e-09	0.00820049	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	1.0714599683552e-14	-0.953686	9.817159592815868e-12	2.2964958655079787e-12	
ret_crve	sys_stroke_megastroke2018	0.456929	-0.28796	1	0.208784	0	1	0.164325181079196	LAVA_rho_CI_normal_approximation_two_sided	ret_crve	sys_stroke_megastroke2018	ret_crve__sys_stroke_megastroke2018	4	4	1	2983520	3582047	148	0.00559885	0.00820049	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.164325181079196	0.456929	0.6222751190202529	0.6107749200353249	
ret_avr	sys_stroke_megastroke2018	-0.629766	-1	0.10019	0.396605	0	1	0.0248434566597499	LAVA_rho_CI_normal_approximation_two_sided	ret_avr	sys_stroke_megastroke2018	ret_avr__sys_stroke_megastroke2018	4	4	1	2983520	3582047	148	0.0110231	0.00820049	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.0248434566597499	-0.629766	0.20455374260753453	0.18287544485649232	
ret_avr	sys_pd_nalls2019_clinical	-0.330715	-1	0.53236	0.109373	0	1	0.397551863887271	LAVA_rho_CI_normal_approximation_two_sided	ret_avr	sys_pd_nalls2019_clinical	ret_avr__sys_pd_nalls2019_clinical	4	4	1	2983520	3582047	148	0.0110231	0.0135384	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.397551863887271	-0.330715	0.8739431269420598	0.7860684581407403	
ret_art_density	sys_stroke_megastroke2018	0.168993	-0.9014	1	0.0285587	0	1	0.727542714158534	LAVA_rho_CI_normal_approximation_two_sided	ret_art_density	sys_stroke_megastroke2018	ret_art_density__sys_stroke_megastroke2018	4	4	1	2983520	3582047	148	0.048765	0.00820049	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.727542714158534	0.168993	0.9833973647792879	0.9983037064515692	
ret_inl_elm_left	sys_ad_kunkle2019	-0.514999	-1	0.39389	0.265224	0	1	0.147535554849267	LAVA_rho_CI_normal_approximation_two_sided	ret_inl_elm_left	sys_ad_kunkle2019	ret_inl_elm_left__sys_ad_kunkle2019	5	5	1	3582048	4281476	183	0.01258	0.0410639	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.147535554849267	-0.514999	0.5909205951009758	0.5594548239884205	
ret_elm_isos_left	sys_ckd_wuttke2019	-0.480129	-1	-0.00269	0.230524	0.00368	1	0.0591404863063474	LAVA_rho_CI_normal_approximation_two_sided	ret_elm_isos_left	sys_ckd_wuttke2019	ret_elm_isos_left__sys_ckd_wuttke2019	5	5	1	3582048	4281476	183	2.18737e-09	0.00626628	outer_retina	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0591404863063474	-0.480129	0.35697906897909054	0.35996084453767213	
