phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	p_method	retinal_trait	systemic_disease	pair_key	locus_index	locus_id	chr	start	stop	n_snps	univ_p_retina	univ_p_systemic	retinal_domain	admission_reason	p_local_rg	local_rg	q_lava_global	q_lava_pair	qc_flag
ret_elm_isos_left	sys_ad_kunkle2019	-0.308464	-1	0.32358	0.0951499	0	1	0.360953289010892	LAVA_rho_CI_normal_approximation_two_sided	ret_elm_isos_left	sys_ad_kunkle2019	ret_elm_isos_left__sys_ad_kunkle2019	5	5	1	3582048	4281476	183	2.18737e-09	0.0410639	outer_retina	PREDEFINED_BIOLOGY_PRIORITY	0.360953289010892	-0.308464	0.8511120640089578	0.926127438962992	
ret_isos_rpe_left	sys_ad_kunkle2019	0.473366	-0.46608	1	0.224075	0	1	0.205634392651313	LAVA_rho_CI_normal_approximation_two_sided	ret_isos_rpe_left	sys_ad_kunkle2019	ret_isos_rpe_left__sys_ad_kunkle2019	5	5	1	3582048	4281476	183	0.0147907	0.0410639	outer_retina	PREDEFINED_BIOLOGY_PRIORITY	0.205634392651313	0.473366	0.6889669168409175	0.7357585544849448	
ret_crve	sys_t2d_scott2017	-0.456652	-1	0.51068	0.208531	0	1	0.236046984600589	LAVA_rho_CI_normal_approximation_two_sided	ret_crve	sys_t2d_scott2017	ret_crve__sys_t2d_scott2017	5	5	1	3582048	4281476	183	0.0237418	0.0309829	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.236046984600589	-0.456652	0.7270203347423496	0.7260770809099132	
ret_crve	sys_ckd_wuttke2019	-0.330922	-1	0.52244	0.109509	0	1	0.394188017842801	LAVA_rho_CI_normal_approximation_two_sided	ret_crve	sys_ckd_wuttke2019	ret_crve__sys_ckd_wuttke2019	5	5	1	3582048	4281476	183	0.0237418	0.00626628	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.394188017842801	-0.330922	0.8718218738949807	0.8749051127730462	
ret_avr	sys_t2d_scott2017	0.478366	-0.59855	1	0.228834	0	1	0.240780475151926	LAVA_rho_CI_normal_approximation_two_sided	ret_avr	sys_t2d_scott2017	ret_avr__sys_t2d_scott2017	5	5	1	3582048	4281476	183	0.0377098	0.0309829	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.240780475151926	0.478366	0.7329527067760394	0.68638070514088	
ret_avr	sys_ckd_wuttke2019	0.414647	-0.46929	1	0.171932	0	1	0.268622947493647	LAVA_rho_CI_normal_approximation_two_sided	ret_avr	sys_ckd_wuttke2019	ret_avr__sys_ckd_wuttke2019	5	5	1	3582048	4281476	183	0.0377098	0.00626628	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.268622947493647	0.414647	0.7644404345993033	0.7938427831150082	
ret_art_density	sys_t2d_scott2017	0.0122205	-1	1	0.00014934	0	1	0.980891103652261	LAVA_rho_CI_normal_approximation_two_sided	ret_art_density	sys_t2d_scott2017	ret_art_density__sys_t2d_scott2017	5	5	1	3582048	4281476	183	0.00459196	0.0309829	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.980891103652261	0.0122205	0.9997970216582496	0.9976256035011533	
ret_art_density	sys_ckd_wuttke2019	-0.485649	-1	0.22663	0.235855	0	1	0.120666254078303	LAVA_rho_CI_normal_approximation_two_sided	ret_art_density	sys_ckd_wuttke2019	ret_art_density__sys_ckd_wuttke2019	5	5	1	3582048	4281476	183	0.00459196	0.00626628	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.120666254078303	-0.485649	0.5317683322185589	0.5733568505886245	
ret_inl_left	sys_ad_kunkle2019	0.533044	-0.02068	1	0.284136	0	1	0.0406424913237671	LAVA_rho_CI_normal_approximation_two_sided	ret_inl_left	sys_ad_kunkle2019	ret_inl_left__sys_ad_kunkle2019	6	6	1	4281477	4773403	313	6.2694e-06	0.00893471	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.0406424913237671	0.533044	0.2818141015041273	0.23572644967784917	
ret_inl_elm_left	sys_ad_kunkle2019	0.121718	-0.56688	0.90151	0.0148153	0	0.90407	0.745233107912243	LAVA_rho_CI_normal_approximation_two_sided	ret_inl_elm_left	sys_ad_kunkle2019	ret_inl_elm_left__sys_ad_kunkle2019	6	6	1	4281477	4773403	313	0.000154414	0.00893471	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.745233107912243	0.121718	0.9850696008722969	0.9679214948152128	
ret_elm_isos_left	sys_ckd_wuttke2019	0.210484	-0.80346	1	0.0443034	0	1	0.64731203355135	LAVA_rho_CI_normal_approximation_two_sided	ret_elm_isos_left	sys_ckd_wuttke2019	ret_elm_isos_left__sys_ckd_wuttke2019	6	6	1	4281477	4773403	313	0.0198894	0.0238508	outer_retina	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.64731203355135	0.210484	0.9688502128113056	0.94412100746084	
ret_elm_isos_left	sys_ad_kunkle2019	0.0521438	-0.96337	1	0.00271897	0	1	0.917084686672216	LAVA_rho_CI_normal_approximation_two_sided	ret_elm_isos_left	sys_ad_kunkle2019	ret_elm_isos_left__sys_ad_kunkle2019	6	6	1	4281477	4773403	313	0.0198894	0.00893471	outer_retina	PREDEFINED_BIOLOGY_PRIORITY	0.917084686672216	0.0521438	0.9985897938128142	0.9943697401563183	
ret_isos_rpe_left	sys_ad_kunkle2019	-0.156146	-0.8842	0.45842	0.0243815	0	0.86403	0.648472272674965	LAVA_rho_CI_normal_approximation_two_sided	ret_isos_rpe_left	sys_ad_kunkle2019	ret_isos_rpe_left__sys_ad_kunkle2019	6	6	1	4281477	4773403	313	1.37927e-05	0.00893471	outer_retina	PREDEFINED_BIOLOGY_PRIORITY	0.648472272674965	-0.156146	0.9690689027439261	0.9563320370123742	
ret_macular_total_left	sys_ckd_wuttke2019	-0.13348	-0.96831	0.56886	0.0178169	0	1	0.733565449980436	LAVA_rho_CI_normal_approximation_two_sided	ret_macular_total_left	sys_ckd_wuttke2019	ret_macular_total_left__sys_ckd_wuttke2019	6	6	1	4281477	4773403	313	1.16365e-05	0.0238508	outer_retina	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.733565449980436	-0.13348	0.9833973647792879	0.9846419103553977	
ret_macular_total_left	sys_ad_kunkle2019	0.209624	-0.3914	0.94122	0.043942	0	0.93345	0.537489936322579	LAVA_rho_CI_normal_approximation_two_sided	ret_macular_total_left	sys_ad_kunkle2019	ret_macular_total_left__sys_ad_kunkle2019	6	6	1	4281477	4773403	313	1.16365e-05	0.00893471	outer_retina	PREDEFINED_BIOLOGY_PRIORITY	0.537489936322579	0.209624	0.9354214929100728	0.867387847370858	
ret_art_tort	sys_ckd_wuttke2019	-0.0110901	-1	1	0.000122991	0	1	0.982658389887711	LAVA_rho_CI_normal_approximation_two_sided	ret_art_tort	sys_ckd_wuttke2019	ret_art_tort__sys_ckd_wuttke2019	6	6	1	4281477	4773403	313	0.0450979	0.0238508	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.982658389887711	-0.0110901	0.9997999322144483	0.9948790563232603	
ret_rnfl_left	sys_pd_nalls2019_clinical	-0.042667	-1	0.91494	0.00182047	0	1	0.930400966599075	LAVA_rho_CI_normal_approximation_two_sided	ret_rnfl_left	sys_pd_nalls2019_clinical	ret_rnfl_left__sys_pd_nalls2019_clinical	7	7	1	4773404	5362404	329	0.0408143	0.000886164	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.930400966599075	-0.042667	0.9985897938128142	0.9912341355120249	
ret_isos_rpe_left	sys_pd_nalls2019_clinical	-0.0523741	-0.70605	0.57789	0.00274305	0	0.60616	0.872959423062619	LAVA_rho_CI_normal_approximation_two_sided	ret_isos_rpe_left	sys_pd_nalls2019_clinical	ret_isos_rpe_left__sys_pd_nalls2019_clinical	7	7	1	4773404	5362404	329	0.000674222	0.000886164	outer_retina	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.872959423062619	-0.0523741	0.9972484809830132	0.964990436352124	
ret_crae	sys_t2d_scott2017	0.978096	0.15479	1	0.956672	0.03481	1	5.72690745201867e-06	LAVA_rho_CI_normal_approximation_two_sided	ret_crae	sys_t2d_scott2017	ret_crae__sys_t2d_scott2017	7	7	1	4773404	5362404	329	0.0431119	0.0310535	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	5.72690745201867e-06	0.978096	0.000236288288676379	0.00020134495771882466	
ret_crae	sys_sle_bentham2015	0.132419	-0.77364	1	0.0175347	0	1	0.769782280198544	LAVA_rho_CI_normal_approximation_two_sided	ret_crae	sys_sle_bentham2015	ret_crae__sys_sle_bentham2015	7	7	1	4773404	5362404	329	0.0431119	0.000499818	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.769782280198544	0.132419	0.9879260801146607	0.9694086551007783	
ret_art_density	sys_t2d_scott2017	1	0.2343	1	1	0.05886	1	3.06502048684403e-07	LAVA_rho_CI_normal_approximation_two_sided	ret_art_density	sys_t2d_scott2017	ret_art_density__sys_t2d_scott2017	7	7	1	4773404	5362404	329	0.0233844	0.0310535	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	3.06502048684403e-07	1	1.826023752375173e-05	1.4767825982066692e-05	
ret_ven_density	sys_t2d_scott2017	0.659903	-0.11008	1	0.435472	0	1	0.0197925464653938	LAVA_rho_CI_normal_approximation_two_sided	ret_ven_density	sys_t2d_scott2017	ret_ven_density__sys_t2d_scott2017	7	7	1	4773404	5362404	329	0.00696468	0.0310535	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.0197925464653938	0.659903	0.1764791114536841	0.15237549470618242	
ret_art_tort	sys_stroke_megastroke2018	0.0831656	-0.64092	0.8973	0.00691652	0	0.96733	0.832157488173845	LAVA_rho_CI_normal_approximation_two_sided	ret_art_tort	sys_stroke_megastroke2018	ret_art_tort__sys_stroke_megastroke2018	8	8	1	5362405	6136814	279	0.000255779	0.0111826	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.832157488173845	0.0831656	0.9935316949449626	0.9606414091486218	
ret_art_tort	sys_t2d_scott2017	-0.347129	-0.99842	0.1628	0.120498	0	0.99939	0.241276297569426	LAVA_rho_CI_normal_approximation_two_sided	ret_art_tort	sys_t2d_scott2017	ret_art_tort__sys_t2d_scott2017	8	8	1	5362405	6136814	279	0.000255779	0.000266127	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.241276297569426	-0.347129	0.7335265192871507	0.7688637343184471	
ret_crae	sys_stroke_megastroke2018	0.1286	-0.52171	0.91784	0.0165379	0	0.91882	0.726203032661436	LAVA_rho_CI_normal_approximation_two_sided	ret_crae	sys_stroke_megastroke2018	ret_crae__sys_stroke_megastroke2018	8	8	1	5362405	6136814	279	2.95927e-05	0.0111826	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.726203032661436	0.1286	0.9833973647792879	0.977080880821522	
ret_crae	sys_t2d_scott2017	0.358682	-0.11845	0.93933	0.128653	0	0.88351	0.183779990824786	LAVA_rho_CI_normal_approximation_two_sided	ret_crae	sys_t2d_scott2017	ret_crae__sys_t2d_scott2017	8	8	1	5362405	6136814	279	2.95927e-05	0.000266127	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.183779990824786	0.358682	0.6552749435129388	0.6031089839742977	
ret_crae	sys_sle_bentham2015	0.0137111	-0.59751	0.65562	0.000187993	0	0.57792	0.965789361050379	LAVA_rho_CI_normal_approximation_two_sided	ret_crae	sys_sle_bentham2015	ret_crae__sys_sle_bentham2015	8	8	1	5362405	6136814	279	2.95927e-05	0.00362031	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.965789361050379	0.0137111	0.9991080500739258	0.9922493435449099	
ret_crve	sys_stroke_megastroke2018	-0.0135829	-1	0.91701	0.000184495	0	1	0.977842006094548	LAVA_rho_CI_normal_approximation_two_sided	ret_crve	sys_stroke_megastroke2018	ret_crve__sys_stroke_megastroke2018	8	8	1	5362405	6136814	279	0.00624416	0.0111826	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.977842006094548	-0.0135829	0.9997970216582496	0.9979728454520707	
ret_crve	sys_t2d_scott2017	0.217596	-0.43425	1	0.0473479	0	1	0.5520383482866	LAVA_rho_CI_normal_approximation_two_sided	ret_crve	sys_t2d_scott2017	ret_crve__sys_t2d_scott2017	8	8	1	5362405	6136814	279	0.00624416	0.000266127	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.5520383482866	0.217596	0.9413278846299363	0.9104107842234748	
ret_art_density	sys_stroke_megastroke2018	0.224489	-0.40801	1	0.0503955	0	1	0.531982963307732	LAVA_rho_CI_normal_approximation_two_sided	ret_art_density	sys_stroke_megastroke2018	ret_art_density__sys_stroke_megastroke2018	8	8	1	5362405	6136814	279	5.18506e-05	0.0111826	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.531982963307732	0.224489	0.9335233321522212	0.9983037064515692	
ret_art_density	sys_t2d_scott2017	0.151025	-0.37166	0.71061	0.0228087	0	0.51413	0.584375284230699	LAVA_rho_CI_normal_approximation_two_sided	ret_art_density	sys_t2d_scott2017	ret_art_density__sys_t2d_scott2017	8	8	1	5362405	6136814	279	5.18506e-05	0.000266127	microvasculature	NOMINAL_P<0.05_AND_ABS_RG>=0.10;PREDEFINED_BIOLOGY_PRIORITY	0.584375284230699	0.151025	0.953753192026791	0.9466845687896943	
ret_ven_density	sys_stroke_megastroke2018	-0.00165718	-0.73906	0.72725	2.74623e-06	0	0.84651	0.996465234443844	LAVA_rho_CI_normal_approximation_two_sided	ret_ven_density	sys_stroke_megastroke2018	ret_ven_density__sys_stroke_megastroke2018	8	8	1	5362405	6136814	279	0.000126517	0.0111826	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.996465234443844	-0.00165718	0.9999182059026329	0.999700485295686	
ret_ven_density	sys_t2d_scott2017	0.180904	-0.35236	0.75	0.0327261	0	0.57387	0.520039778024671	LAVA_rho_CI_normal_approximation_two_sided	ret_ven_density	sys_t2d_scott2017	ret_ven_density__sys_t2d_scott2017	8	8	1	5362405	6136814	279	0.000126517	0.000266127	microvasculature	PREDEFINED_BIOLOGY_PRIORITY	0.520039778024671	0.180904	0.9295995820783183	0.9110787779872271	
ret_rnfl_left	sys_ad_kunkle2019	-0.172492	-1	0.52603	0.0297534	0	1	0.657706523434555	LAVA_rho_CI_normal_approximation_two_sided	ret_rnfl_left	sys_ad_kunkle2019	ret_rnfl_left__sys_ad_kunkle2019	9	9	1	6136815	7711794	504	0.00510133	0.00177476	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.657706523434555	-0.172492	0.9711673309694483	0.9956621589781239	
ret_rnfl_left	sys_pd_nalls2019_clinical	0.482191	-0.12759	1	0.232508	0	1	0.0936838081147315	LAVA_rho_CI_normal_approximation_two_sided	ret_rnfl_left	sys_pd_nalls2019_clinical	ret_rnfl_left__sys_pd_nalls2019_clinical	9	9	1	6136815	7711794	504	0.00510133	0.00193682	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.0936838081147315	0.482191	0.47011755720803217	0.38417061751957465	
ret_gcipl_left	sys_ad_kunkle2019	0.0593763	-0.4023	0.54322	0.00352554	0	0.33924	0.805557055465446	LAVA_rho_CI_normal_approximation_two_sided	ret_gcipl_left	sys_ad_kunkle2019	ret_gcipl_left__sys_ad_kunkle2019	9	9	1	6136815	7711794	504	6.42987e-10	0.00177476	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.805557055465446	0.0593763	0.9912168950402079	0.9857753309164019	
ret_gcipl_left	sys_pd_nalls2019_clinical	0.413964	-0.00537	1	0.171366	0	1	0.106518390684669	LAVA_rho_CI_normal_approximation_two_sided	ret_gcipl_left	sys_pd_nalls2019_clinical	ret_gcipl_left__sys_pd_nalls2019_clinical	9	9	1	6136815	7711794	504	6.42987e-10	0.00193682	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.106518390684669	0.413964	0.5012653714243355	0.4797468434030749	
ret_inl_left	sys_ad_kunkle2019	0.582212	-0.0322	1	0.338971	0	1	0.0270334955784422	LAVA_rho_CI_normal_approximation_two_sided	ret_inl_left	sys_ad_kunkle2019	ret_inl_left__sys_ad_kunkle2019	9	9	1	6136815	7711794	504	0.0080594	0.00177476	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.0270334955784422	0.582212	0.21655321405329747	0.18326603496034843	
ret_inl_left	sys_pd_nalls2019_clinical	0.418378	-0.22795	1	0.17504	0	1	0.181690276080627	LAVA_rho_CI_normal_approximation_two_sided	ret_inl_left	sys_pd_nalls2019_clinical	ret_inl_left__sys_pd_nalls2019_clinical	9	9	1	6136815	7711794	504	0.0080594	0.00193682	neuroretina	PREDEFINED_BIOLOGY_PRIORITY	0.181690276080627	0.418378	0.6524861915081479	0.6318132826287609	
ret_elm_isos_left	sys_ckd_wuttke2019	0.510997	-0.12257	1	0.261118	0	1	0.0743648352869889	LAVA_rho_CI_normal_approximation_two_sided	ret_elm_isos_left	sys_ckd_wuttke2019	ret_elm_isos_left__sys_ckd_wuttke2019	9	9	1	6136815	7711794	504	0.00245576	0.00801728	outer_retina	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0743648352869889	0.510997	0.411141913943109	0.4185939125755213	
ret_elm_isos_left	sys_ad_kunkle2019	0.653759	0.0943	1	0.427401	0.0138	1	0.00466191851027222	LAVA_rho_CI_normal_approximation_two_sided	ret_elm_isos_left	sys_ad_kunkle2019	ret_elm_isos_left__sys_ad_kunkle2019	9	9	1	6136815	7711794	504	0.00245576	0.00177476	outer_retina	PREDEFINED_BIOLOGY_PRIORITY	0.00466191851027222	0.653759	0.061966901819131136	0.05152017635711094	
ret_isos_rpe_left	sys_ad_kunkle2019	-0.340754	-1	0.33386	0.116113	0	1	0.31663211227553	LAVA_rho_CI_normal_approximation_two_sided	ret_isos_rpe_left	sys_ad_kunkle2019	ret_isos_rpe_left__sys_ad_kunkle2019	9	9	1	6136815	7711794	504	0.00960676	0.00177476	outer_retina	PREDEFINED_BIOLOGY_PRIORITY	0.31663211227553	-0.340754	0.8177034918925055	0.8693636198748607	
