retinal_trait	retinal_domain	systemic_disease	admit_phase1b	admission_reason	p	rg	q_global	q_within_retinal_domain	qc_flag
ret_elm_isos_left	outer_retina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.4102	-0.0776	0.7794098360655737	0.7001684210526316	PASS
ret_elm_isos_left	outer_retina	sys_pd_nalls2019_clinical	FALSE	NO_PREDEFINED_CRITERION	0.8234	0.0163	0.9402455445544554	0.8592000000000001	RATIO_NEGATIVE
ret_elm_isos_left	outer_retina	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.4538	0.0986	0.7807757575757576	0.7001684210526316	PASS
ret_elm_isos_left	outer_retina	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.6905	0.0218	0.8730966292134832	0.7891428571428571	PASS
ret_isos_rpe_left	outer_retina	sys_cad_nikpay2015	FALSE	NO_PREDEFINED_CRITERION	0.3081	-0.0522	0.7305666666666667	0.7001684210526316	RATIO_NEGATIVE
ret_isos_rpe_left	outer_retina	sys_stroke_megastroke2018	FALSE	NO_PREDEFINED_CRITERION	0.2299	-0.0862	0.6848390243902439	0.7001684210526316	PASS
ret_isos_rpe_left	outer_retina	sys_t2d_scott2017	FALSE	NO_PREDEFINED_CRITERION	0.5313	-0.0289	0.7876842105263158	0.7001684210526316	PASS
ret_isos_rpe_left	outer_retina	sys_ckd_wuttke2019	FALSE	NO_PREDEFINED_CRITERION	0.2197	-0.081	0.6848390243902439	0.7001684210526316	PASS
ret_isos_rpe_left	outer_retina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.2041	-0.1087	0.6848390243902439	0.7001684210526316	PASS
ret_isos_rpe_left	outer_retina	sys_pd_nalls2019_clinical	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0436	0.1231	0.34880000000000005	0.3856	RATIO_NEGATIVE
ret_isos_rpe_left	outer_retina	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.6584	-0.0307	0.8575813953488371	0.7891428571428571	PASS
ret_isos_rpe_left	outer_retina	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.542	0.0302	0.7883636363636365	0.7001684210526316	PASS
ret_macular_total_left	outer_retina	sys_cad_nikpay2015	FALSE	NO_PREDEFINED_CRITERION	0.7975	0.0107	0.9382333333333334	0.8592000000000001	RATIO_NEGATIVE
ret_macular_total_left	outer_retina	sys_stroke_megastroke2018	FALSE	NO_PREDEFINED_CRITERION	0.2401	0.0674	0.6848390243902439	0.7001684210526316	PASS
ret_macular_total_left	outer_retina	sys_t2d_scott2017	FALSE	NO_PREDEFINED_CRITERION	0.3708	-0.0406	0.7690666666666667	0.7001684210526316	PASS
ret_macular_total_left	outer_retina	sys_ckd_wuttke2019	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0482	-0.1222	0.3528	0.3856	PASS
ret_macular_total_left	outer_retina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.36	-0.0704	0.7607547169811321	0.7001684210526316	PASS
ret_macular_total_left	outer_retina	sys_pd_nalls2019_clinical	FALSE	NO_PREDEFINED_CRITERION	0.2901	-0.0596	0.7063304347826088	0.7001684210526316	RATIO_NEGATIVE
ret_macular_total_left	outer_retina	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.9784	0.0023	0.9872144144144145	0.9784	PASS
ret_macular_total_left	outer_retina	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.5543	-0.0232	0.7959179487179487	0.7001684210526316	PASS
ret_art_tort	microvasculature	sys_cad_nikpay2015	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.3131	-0.0455	0.7305666666666667	0.6493925925925926	RATIO_NEGATIVE
ret_art_tort	microvasculature	sys_stroke_megastroke2018	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.6585	-0.0255	0.8575813953488371	0.8575813953488371	PASS
ret_art_tort	microvasculature	sys_t2d_scott2017	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.7375	-0.0141	0.9020215053763442	0.8737166666666667	PASS
