trait_id	display_name	GCST_accession	frequency_semantics_status	reason_for_exclusion
ret_art_tort	Retinal arteriolar tortuosity	GCST90446760	SEMANTIC_CONFLICT	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_ven_tort	Retinal venular tortuosity	GCST90446761	SEMANTIC_CONFLICT	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_crae	Central retinal arteriolar equivalent	GCST90446763	SEMANTIC_CONFLICT	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_crve	Central retinal venular equivalent	GCST90446764	SEMANTIC_CONFLICT	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_avr	Artery-to-vein central retinal equivalent ratio	GCST90446765	SEMANTIC_CONFLICT	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_art_density	Retinal arterial vascular density	GCST90446768	SEMANTIC_CONFLICT	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_ven_density	Retinal venular vascular density	GCST90446769	SEMANTIC_CONFLICT	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
