pair_key	direction	status	global_p	outlier_count
ret_elm_isos_left__sys_ad_kunkle2019	ret_elm_isos_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_cad_nikpay2015	ret_elm_isos_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_ckd_wuttke2019	ret_elm_isos_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_ibd_delange2017	ret_elm_isos_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_pd_nalls2019_clinical	ret_elm_isos_left_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_sle_bentham2015	ret_elm_isos_left_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_stroke_megastroke2018	ret_elm_isos_left_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_t2d_scott2017	ret_elm_isos_left_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_ad_kunkle2019	ret_gcipl_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_cad_nikpay2015	ret_gcipl_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_ckd_wuttke2019	ret_gcipl_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_ibd_delange2017	ret_gcipl_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_pd_nalls2019_clinical	ret_gcipl_left_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_sle_bentham2015	ret_gcipl_left_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_stroke_megastroke2018	ret_gcipl_left_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_t2d_scott2017	ret_gcipl_left_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_ad_kunkle2019	ret_inl_elm_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_cad_nikpay2015	ret_inl_elm_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_ckd_wuttke2019	ret_inl_elm_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_ibd_delange2017	ret_inl_elm_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_pd_nalls2019_clinical	ret_inl_elm_left_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_sle_bentham2015	ret_inl_elm_left_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_stroke_megastroke2018	ret_inl_elm_left_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_t2d_scott2017	ret_inl_elm_left_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_ad_kunkle2019	ret_inl_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_cad_nikpay2015	ret_inl_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_ckd_wuttke2019	ret_inl_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_ibd_delange2017	ret_inl_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
