retinal_trait	disease	retina_to_disease_status	disease_to_retina_status	retina_to_disease_n_iv	disease_to_retina_n_iv	retina_to_disease_beta	retina_to_disease_se	retina_to_disease_ci_low	retina_to_disease_ci_high	retina_to_disease_p	retina_to_disease_q	disease_to_retina_beta	disease_to_retina_se	disease_to_retina_ci_low	disease_to_retina_ci_high	disease_to_retina_p	disease_to_retina_q	retina_to_disease_steiger	disease_to_retina_steiger	retina_to_disease_heterogeneity_p	disease_to_retina_heterogeneity_p	retina_to_disease_pleiotropy_p	disease_to_retina_pleiotropy_p
ret_rnfl_left	sys_cad_nikpay2015	NULL	NULL	16	30	-0.034449810420944776	0.07177811659937687	-0.1751323338338362	0.10623271299194664	0.6312639041020067	0.9627805128788594	0.013049459151192133	0.01614000360001922	-0.01858436661519148	0.04468328491757575	0.41879331390116536	0.9627805128788594	True	True	0.02532745400325198	0.26817905421182575	0.33381783607789806	0.7488409560479008
ret_rnfl_left	sys_stroke_megastroke2018	NULL	NULL	16	7	-0.02124724457285515	0.054543354648459295	-0.12815025527982776	0.08565576613411746	0.6968709477492135	0.9627805128788594	0.044142336157337134	0.05713544387883574	-0.06784107608588733	0.1561257484005616	0.439764405846892	0.9627805128788594	True	True	0.7559952703515248	0.07267382431727676	0.0679834997999221	0.6139511774785869
ret_rnfl_left	sys_t2d_scott2017	NULL	NULL	14	28	0.009914694233024763	0.07064706299077515	-0.12855100484242327	0.1483803933084728	0.8883904064067936	0.9627805128788594	0.014640711578729424	0.020450467964469716	-0.025441469098620266	0.05472289225607912	0.4740464082228929	0.9627805128788594	True	NA	0.8520577252831074	0.0001321073834807951	0.5811772463618489	0.5240681959476028
ret_rnfl_left	sys_ckd_wuttke2019	NULL	NULL	16	16	-0.08379783970222071	0.0503609413595381	-0.1825034709944463	0.014907791590004868	0.09612340865423587	0.9627805128788594	-0.007614584178735138	0.03328718509991557	-0.07285626812128618	0.05762709976381591	0.8190599477569072	0.9627805128788594	True	True	0.4965180055556109	0.0027141131782257855	0.47966119031293575	0.20049522964761468
ret_rnfl_left	sys_ad_kunkle2019	NULL	NULL	16	18	0.009573460079681276	0.07708770872185894	-0.14151567266587228	0.16066259282523482	0.9011654813703511	0.9627805128788594	-0.002007176997428468	0.013811207950247994	-0.029076647162907053	0.025062293168050115	0.8844506642229374	0.9627805128788594	True	True	0.9086477361119459	0.12111145751540509	0.36560493314625575	0.13408882142914816
ret_rnfl_left	sys_pd_nalls2019_clinical	NULL	NULL	15	10	-0.151619061321331	0.1163988144851133	-0.3797565455553059	0.07651842291264396	0.19271732800587993	0.9627805128788594	-0.0187073750060808	0.017400968638478183	-0.05281264683360808	0.015397896821446481	0.2823404142362861	0.9627805128788594	True	True	0.7000026685266744	0.1293133431555351	0.7178808701597661	0.267471910001144
ret_rnfl_left	sys_sle_bentham2015	NULL	NULL	15	28	0.11375763978005103	0.2232407635558066	-0.3237862166705397	0.5513014962306417	0.6103500969105823	0.9627805128788594	-0.006906389182274405	0.0050018385376732555	-0.016709812572598206	0.002897034208049396	0.16734965445951755	0.9627805128788594	True	True	0.013680811911160884	0.20638909716159515	0.4102172075828183	0.2892984802665456
ret_rnfl_left	sys_ibd_delange2017	NULL	NULL	13	90	0.06894362607013249	0.09322719801786816	-0.113778324424468	0.251665576564733	0.45958968120486354	0.9627805128788594	0.004288769868927952	0.006380459111497389	-0.00821670019443702	0.016794239932292926	0.5014738143336399	0.9627805128788594	True	NA	0.14847750135695315	0.43651544877558834	0.729862869612422	0.33421185120666896
ret_gcipl_left	sys_cad_nikpay2015	NULL	NULL	30	30	-0.05545218666978778	0.037510712323664056	-0.12897183185861005	0.018067458519034504	0.13932677987107642	0.9627805128788594	-0.0132029801131301	0.019631186978784677	-0.05167939956531868	0.025273439339058484	0.5012327998960036	0.9627805128788594	True	True	0.5520741825727349	0.02375947577643167	0.6011593249956295	0.3498492009513142
ret_gcipl_left	sys_stroke_megastroke2018	NULL	NULL	29	7	0.026104925992431714	0.039532994908249054	-0.051378320228739636	0.10358817221360306	0.5090404031515623	0.9627805128788594	0.0522076766015953	0.03995521677837247	-0.026103109278503074	0.1305184624816937	0.19132996925943013	0.9627805128788594	True	True	0.7326866760709785	0.8424982449095593	0.4738422556366879	0.24848401677577114
