retinal_trait	disease	retina_to_disease_status	disease_to_retina_status	retina_to_disease_n_iv	disease_to_retina_n_iv	retina_to_disease_beta	retina_to_disease_se	retina_to_disease_ci_low	retina_to_disease_ci_high	retina_to_disease_p	retina_to_disease_q	disease_to_retina_beta	disease_to_retina_se	disease_to_retina_ci_low	disease_to_retina_ci_high	disease_to_retina_p	disease_to_retina_q	retina_to_disease_steiger	disease_to_retina_steiger	retina_to_disease_heterogeneity_p	disease_to_retina_heterogeneity_p	retina_to_disease_pleiotropy_p	disease_to_retina_pleiotropy_p
ret_gcipl_left	sys_t2d_scott2017	NULL	NULL	24	28	0.06197800913620588	0.06341635777783532	-0.062315768139054456	0.18627178641146622	0.32841126701660284	0.9627805128788594	-0.009251352616887875	0.018946100645490054	-0.046385027529518424	0.027882322295742678	0.6253384204121761	0.9627805128788594	True	NA	0.20507207013603834	0.0013158269275453938	0.8853083206398119	0.4856688421817582
ret_gcipl_left	sys_ckd_wuttke2019	NULL	NULL	31	16	-0.030058216719170815	0.034262826057266826	-0.09721212179997245	0.03709568836163081	0.3803325966780352	0.9627805128788594	0.005890577017461138	0.02747303228897911	-0.047955576815042436	0.05973673084996471	0.8302249553231605	0.9627805128788594	True	True	0.8657966772183425	0.0600700112564968	0.22815810295177763	0.5849054458568583
ret_gcipl_left	sys_ad_kunkle2019	NULL	NULL	30	18	0.09461784287804682	0.06107081641645379	-0.025078757804656793	0.21431444356075044	0.12130636602054241	0.9627805128788594	0.002540360565599808	0.010700335875219947	-0.01843191237231259	0.023512633503512206	0.8123391802135681	0.9627805128788594	True	True	0.29815327173074135	0.34383762956716146	0.9597188458818535	0.6394066481852883
ret_gcipl_left	sys_pd_nalls2019_clinical	NULL	NULL	26	10	0.06700501438037836	0.1153117105163671	-0.15900178522740355	0.29301181398816023	0.5611883746292661	0.9627805128788594	0.005601422134929185	0.027406509377807465	-0.048114349187531213	0.05931719345738959	0.8380542842933781	0.9627805128788594	True	True	0.08002294657454057	0.00012252485455377382	0.17353359332864682	0.7580964773359776
ret_gcipl_left	sys_sle_bentham2015	NULL	NULL	27	28	0.23965987180810747	0.1628372579759263	-0.07949528916595697	0.5588150327821719	0.14108153651481545	0.9627805128788594	0.0009550724533874314	0.004610749304980027	-0.00808183012611626	0.009991975032891122	0.8359002119391328	0.9627805128788594	True	True	0.007050842621939002	0.3318798241168709	0.8896875537586039	0.07207667477912479
ret_gcipl_left	sys_ibd_delange2017	NULL	NULL	21	90	0.011294979719073143	0.07511274310692724	-0.1359232915505094	0.15851325098865568	0.8804698041621738	0.9627805128788594	0.003681601706736797	0.007577972809764403	-0.011170952076224821	0.018534155489698417	0.6270881534993726	0.9627805128788594	True	NA	0.13815593858359732	0.024560493155697527	0.19905740639567115	0.13017918414540464
ret_inl_left	sys_cad_nikpay2015	NULL	NULL	59	30	0.03839303475584142	0.03283570053043663	-0.025963755690955347	0.10274982520263817	0.2423042474747994	0.9627805128788594	-0.015419578929369604	0.0216074554458303	-0.05776941340074969	0.02693025554201048	0.4754602812637374	0.9627805128788594	True	True	0.02269615615260656	0.003654872798613984	0.1772780369700253	0.8987065875170767
ret_inl_left	sys_stroke_megastroke2018	NULL	NULL	60	7	0.02984409828486202	0.026145800202820153	-0.021400728459644112	0.08108892502936815	0.2536831111268486	0.9627805128788594	0.0037630608773869976	0.04243619521755001	-0.07941035338991961	0.0869364751446936	0.9293396157934809	0.9630914594678391	True	True	0.5529473432022427	0.36556577489522635	0.2668226845097066	0.4292659817278126
ret_inl_left	sys_t2d_scott2017	NULL	NULL	54	28	-0.01699047096751281	0.04900705246351692	-0.11304252878446827	0.07906158684944264	0.7288209128749497	0.9627805128788594	-0.04044620493265788	0.02174715858476338	-0.08306985252487398	0.002177442659558222	0.06290836467211226	0.9627805128788594	True	NA	0.0004016121212669921	1.3348559222747802e-05	0.5805882794771002	0.7585307751047331
ret_inl_left	sys_ckd_wuttke2019	SUGGESTIVE	NULL	59	16	-0.07250387235322214	0.03219357938850667	-0.1356021284881245	-0.009405616218319784	0.02431455562859747	0.9627805128788594	-0.008895148563221197	0.03388779796993036	-0.07531401209965244	0.057523714973210044	0.7929450480693143	0.9627805128788594	True	True	0.022197199413397928	0.001888517245795529	0.41825548490751074	0.9322227986005296
ret_inl_left	sys_ad_kunkle2019	NULL	NULL	60	18	-0.02431190836328925	0.0439059807726384	-0.11036604938356624	0.061742232656987736	0.5797659849984251	0.9627805128788594	0.020749655497765	0.011326840149785121	-0.001450543254455497	0.0429498542499855	0.06696609656123383	0.9627805128788594	True	True	0.1802818231110268	0.31376923123530587	0.16038882143251565	0.02646407914393333
ret_inl_left	sys_pd_nalls2019_clinical	NULL	NULL	57	10	0.05112464685078914	0.05782747171845018	-0.06221511503437864	0.1644644087359569	0.37664802879409576	0.9627805128788594	-0.012340624733608608	0.018489260288315098	-0.048578908999491854	0.023897659532274643	0.5044858440232549	0.9627805128788594	True	True	0.46084093260883807	0.08157996068873974	0.6048893145921094	0.6536571952550966
ret_inl_left	sys_sle_bentham2015	NULL	NULL	54	28	0.0707891879475075	0.09153730128459939	-0.10862062581229438	0.2501990017073094	0.4393229252206502	0.9627805128788594	0.002521054432061295	0.005168237373980212	-0.007608504684493509	0.012650613548616099	0.625693123158878	0.9627805128788594	True	True	0.0819883650216029	0.15913087798050918	0.8893234209919303	0.27233406361919477
ret_inl_left	sys_ibd_delange2017	NULL	NULL	49	90	-0.03805813541637653	0.04818396998332089	-0.1324969812158419	0.056380710383088846	0.42961505069555594	0.9627805128788594	-0.009314779507935581	0.00722559274142721	-0.02347668104808656	0.004847122032215396	0.19735043554688303	0.9627805128788594	True	NA	0.011086317812566637	0.10333565580185433	0.13990989370998763	0.7629121849473568
ret_inl_elm_left	sys_cad_nikpay2015	NULL	NULL	77	30	0.03372693302518998	0.031108989434413568	-0.027245565861696	0.09469943191207597	0.27829655628516925	0.9627805128788594	0.006620987562728908	0.018877596427266597	-0.030378421549394602	0.043620396674852416	0.7257890023481169	0.9627805128788594	True	True	1.7434739429944557e-08	0.05919321842190739	0.08243954164872676	0.4133965319292916
ret_inl_elm_left	sys_stroke_megastroke2018	NULL	NULL	76	7	0.009408984634503613	0.0201638064897655	-0.03011134987667069	0.04892931914567791	0.6407664786338396	0.9627805128788594	0.08181215549926807	0.046418518029207614	-0.009166468053699514	0.17279077905223567	0.07798661117986443	0.9627805128788594	True	True	0.5552642166315518	0.26711325542815545	0.5873554789319204	0.044196947986108605
ret_inl_elm_left	sys_t2d_scott2017	NULL	NULL	68	28	-0.019383321284904838	0.029653605434925377	-0.07750331994911819	0.038736677379308505	0.5133320622666524	0.9627805128788594	-0.01758153870494337	0.016336140311221336	-0.04959978536132925	0.014436707951442515	0.2818218217187115	0.9627805128788594	True	NA	0.22471361637961607	0.0515144242259018	0.14286869424886703	0.4160029444063251
ret_inl_elm_left	sys_ckd_wuttke2019	NULL	NULL	76	16	-0.020775080422658333	0.025203886879318103	-0.07017379097654207	0.028623630131225403	0.4097800168433843	0.9627805128788594	-0.022988837584749518	0.02820396117933496	-0.07826758571761035	0.03228991054811131	0.4150193571216585	0.9627805128788594	True	True	0.00959519678510401	0.05229906354134228	0.31789009810663893	0.7627452840934595
ret_inl_elm_left	sys_ad_kunkle2019	NULL	NULL	78	18	0.0015251694915651393	0.02864915643464279	-0.05462614530778712	0.05767648429091741	0.957543788997779	0.9677408542206719	0.0136637345472608	0.01828702353635444	-0.02217817296842921	0.049505642062950814	0.4549537168625256	0.9627805128788594	True	True	0.5659333897188918	0.0011472754086017112	0.7971482252497412	0.5787557745769636
ret_inl_elm_left	sys_pd_nalls2019_clinical	NULL	NULL	73	10	-0.03476631901312063	0.058371040920509355	-0.14917145695742956	0.07963881893118828	0.5514364433684387	0.9627805128788594	-0.038098101701798	0.04089411247140386	-0.11824908932547762	0.04205288592188162	0.35152878876920024	0.9627805128788594	True	True	0.052644315895107874	9.075284967963171e-11	0.31969089918920857	0.43861894020227576
ret_inl_elm_left	sys_sle_bentham2015	NULL	NULL	64	28	-0.027716287376292562	0.06018131981843023	-0.14566950676249915	0.09023693200991403	0.6451241080401098	0.9627805128788594	0.007533198814232606	0.005586994658104518	-0.003417109497469619	0.01848350712593483	0.17754730096850957	0.9627805128788594	True	True	0.6013819039418906	0.06789721227242751	0.5431665168315349	0.6407902610988137
ret_inl_elm_left	sys_ibd_delange2017	NULL	NULL	60	90	0.0050967278336289615	0.04033572144490548	-0.0739598334888235	0.08415328915608143	0.8994488069029766	0.9627805128788594	-0.002454597233341536	0.007446716864817062	-0.0170498940914496	0.01214069962476653	0.7416860511671937	0.9627805128788594	True	NA	0.0007366359251408383	0.05698391478467402	0.03560421615815167	0.2208639125882259
ret_elm_isos_left	sys_cad_nikpay2015	NULL	NULL	20	30	0.055132155897995694	0.054952380513909736	-0.05257253077400509	0.16283684256999648	0.31572989481437563	0.9627805128788594	-0.020773189144237193	0.020266458466648058	-0.06049471783304314	0.018948339544568756	0.30536157617801074	0.9627805128788594	True	True	0.15466358148751191	0.014465596708726047	0.49679232077069924	0.9081704339539252
ret_elm_isos_left	sys_stroke_megastroke2018	NULL	NULL	20	7	0.013433909544959285	0.05029646409963927	-0.08514534864004276	0.11201316772996132	0.7893963927743513	0.9627805128788594	0.004557544238334382	0.04849896996960525	-0.09049869018937894	0.09961377866604769	0.9251314148997857	0.9630914594678391	True	True	0.4170503023253035	0.20357046113564103	0.009820888484716971	0.5936231652673387
ret_elm_isos_left	sys_t2d_scott2017	NULL	NULL	19	28	0.008300575350857367	0.07443041135661554	-0.1375803502626061	0.15418150096432084	0.9112029854032062	0.9627805128788594	0.01842702015110712	0.012109234642670268	-0.005306643628870702	0.042160683931084936	0.1280760328352566	0.9627805128788594	True	NA	0.11740427594388203	0.7093490645165645	0.4870551076423386	0.4451071904439662
ret_elm_isos_left	sys_ckd_wuttke2019	NULL	NULL	19	16	-0.03456589000323945	0.06728882838825279	-0.16644957020610765	0.09731779019962875	0.6074657127341292	0.9627805128788594	-0.003677277076538181	0.028095743364525232	-0.05874392218988632	0.05138936803680996	0.8958672464575683	0.9627805128788594	True	True	0.012565084456340525	0.05055383715784845	0.5125300948517568	0.6636078285415202
ret_elm_isos_left	sys_ad_kunkle2019	NULL	NULL	20	18	0.0032006160857431837	0.08241145268102909	-0.15832286308269627	0.16472409525418263	0.9690203211751343	0.9690203211751343	0.0009229961333332545	0.007636248491797635	-0.014043775887588004	0.015889768154254514	0.9037937162869245	0.9627805128788594	True	True	0.17674757577553135	0.8558632523135674	0.7542709967886958	0.7719819880337115
ret_elm_isos_left	sys_pd_nalls2019_clinical	NULL	NULL	17	10	0.1654210952176287	0.10879941090398451	-0.0478218316933495	0.37866402212860695	0.12840477026398184	0.9627805128788594	-0.013728578282338267	0.02515994503850613	-0.06304116441081614	0.03558400784613961	0.5853050646368629	0.9627805128788594	True	True	0.9752136291049421	0.0010091141309541696	0.7174624895588164	0.22656080525882039
ret_elm_isos_left	sys_sle_bentham2015	NULL	NULL	17	28	-0.06916044966205735	0.23326989581485227	-0.5263610441365659	0.3880401448124512	0.7668616040619318	0.9627805128788594	-0.0018997983613704464	0.004506982841144746	-0.010733322408953914	0.00693372568621302	0.6733729876308752	0.9627805128788594	True	True	0.002704364271530646	0.3845408822267311	0.9351386175014204	0.46665564480852184
ret_elm_isos_left	sys_ibd_delange2017	NULL	NULL	16	90	-0.015577441286910345	0.08809979140921845	-0.18824985949446502	0.1570949769206443	0.8596530228106299	0.9627805128788594	0.0019146264560627548	0.008070970623742109	-0.01390418528675212	0.01773343819887763	0.8124831605082514	0.9627805128788594	True	NA	0.07176423020542222	0.0035318602662754994	0.8823084924146002	0.7163984517478005
ret_isos_rpe_left	sys_cad_nikpay2015	NULL	NULL	48	30	0.010240275938233546	0.03391317193128949	-0.05622831964860669	0.07670887152507377	0.7626858255175469	0.9627805128788594	0.01097019450215173	0.0217418580875175	-0.031643064306362295	0.05358345331066576	0.6138639493931317	0.9627805128788594	True	True	0.001833754781897845	0.0035860022861219365	0.7111912327970138	0.33273550503482885
ret_isos_rpe_left	sys_stroke_megastroke2018	NULL	NULL	46	7	0.01940203040883119	0.03168673688854194	-0.042702832680306085	0.08150689349796846	0.5403342499213868	0.9627805128788594	-0.027155837375280885	0.04395686946625573	-0.11330971840226814	0.05899804365170636	0.5367179307929619	0.9627805128788594	True	True	0.09761482677111633	0.32983986386058706	0.8836207017261881	0.614289284153621
ret_isos_rpe_left	sys_t2d_scott2017	NULL	NULL	43	28	0.05636240843525466	0.04339413838026759	-0.028688539930214745	0.14141335680072406	0.19399595108378365	0.9627805128788594	-0.019171883909842122	0.01777178057233783	-0.05400393377277195	0.0156601659530877	0.28068474722576886	0.9627805128788594	True	NA	0.022350774604552925	0.012722343189693786	0.4099705784698555	0.19645463255537132
ret_isos_rpe_left	sys_ckd_wuttke2019	NULL	NULL	48	16	-0.008637421486898054	0.0276391964854919	-0.06280925116008673	0.04553440818629062	0.7546558183248803	0.9627805128788594	-0.03059562019489108	0.020097081204496273	-0.06998517555007955	0.008793935160297382	0.12791108072480548	0.9627805128788594	True	True	0.15624149254280195	0.8076912487823318	0.7554114395325044	0.6676159607530154
ret_isos_rpe_left	sys_ad_kunkle2019	NULL	NULL	48	18	-0.0029589874727383144	0.03761220824869535	-0.07667756101919951	0.07075958607372287	0.9372943668035221	0.9630914594678391	0.020030326765785623	0.014787688088959151	-0.008953009303185454	0.0490136628347567	0.17556821954941781	0.9627805128788594	True	True	0.7140586515498932	0.07227972569326446	0.21612811157805512	0.00710259281092523
ret_isos_rpe_left	sys_pd_nalls2019_clinical	NULL	NULL	46	10	0.0667318458756386	0.06617624507651619	-0.06297121110642565	0.19643490285770285	0.3132645008976458	0.9627805128788594	-0.01373205523853529	0.017196895399898927	-0.04743735086823879	0.019973240391168212	0.42456911807027975	0.9627805128788594	True	True	0.15683151599711442	0.15050078504169329	0.05264157836201191	0.09985087669155221
ret_isos_rpe_left	sys_sle_bentham2015	NULL	NULL	40	28	0.04691270575627902	0.11870384498063757	-0.1857425552321899	0.27956796674474793	0.6926894103166725	0.9627805128788594	-0.0020978608168628703	0.00530522099936407	-0.012495902905641754	0.008300181271916013	0.6925231695255412	0.9627805128788594	True	True	0.0008287842546673696	0.13435650495563212	0.9462255824545449	0.12315181574182443
ret_isos_rpe_left	sys_ibd_delange2017	NULL	NULL	42	90	0.03978383099616147	0.04643532852514444	-0.05122774052340456	0.1307954025157275	0.3915787393533241	0.9627805128788594	-0.0022610212147103673	0.008484385136183567	-0.01889011051259666	0.014368068083175927	0.7898602788615413	0.9627805128788594	True	NA	0.006537100088140235	0.000610221071597361	0.6500281330735397	0.4961577140209048
ret_macular_total_left	sys_cad_nikpay2015	NULL	NULL	61	30	0.0015516509892253812	0.03025685412736307	-0.05775069338588669	0.06085399536433746	0.9591003108794159	0.9677408542206719	0.0037768530619559045	0.020783758229346895	-0.03695856453095085	0.04451227065486266	0.8558013927513992	0.9627805128788594	True	True	0.12108081587890696	0.007621513347494058	0.02199593359146384	0.6152897959316791
ret_macular_total_left	sys_stroke_megastroke2018	NULL	SUGGESTIVE	60	7	0.012700496306019573	0.027910164670414708	-0.042002421250573976	0.06740341386261312	0.6490738899262405	0.9627805128788594	0.09838005082904404	0.040753523982251905	0.01850461158074314	0.17825549007734492	0.0157773531035497	0.9627805128788594	True	True	0.5940621200216135	0.553589065950131	0.4569143333947634	0.12716792817844735
ret_macular_total_left	sys_t2d_scott2017	NULL	NULL	56	28	0.026850163085922574	0.03937525338269409	-0.05032391542629465	0.10402424159813979	0.49529932988406145	0.9627805128788594	-0.026066466519500304	0.018749738721684003	-0.062815279133536	0.0106823460945354	0.16445876696327189	0.9627805128788594	True	NA	0.1649020255380106	0.0022653335396140006	0.4384454635842796	0.6519296650972137
ret_macular_total_left	sys_ckd_wuttke2019	NULL	NULL	54	16	-0.05604433015340522	0.03709834274144144	-0.1287557458127514	0.01666708550594094	0.13086583841538876	0.9627805128788594	-0.008262405060876072	0.019838110934034116	-0.04714438801289213	0.03061957789113998	0.6770503682185931	0.9627805128788594	True	True	0.0015290427046271704	0.6239026183139664	0.20175974727324075	0.8427338593244399
ret_macular_total_left	sys_ad_kunkle2019	NULL	NULL	60	18	0.010133171845219745	0.04426292402284481	-0.07662056508998646	0.09688690878042594	0.8189222580701451	0.9627805128788594	0.008153977384533431	0.012262643443144674	-0.01588036211928571	0.032188316888352574	0.5060859880976556	0.9627805128788594	True	True	0.21061492769999124	0.24216630703557762	0.913769865173485	0.6025963592276005
ret_macular_total_left	sys_pd_nalls2019_clinical	NULL	NULL	53	10	-0.07317910087004835	0.06046336061807399	-0.19168511006572758	0.04532690832563087	0.22616192294549542	0.9627805128788594	-0.03275582635283318	0.0366980780109254	-0.10468273755608629	0.039171084850419924	0.37208423736349605	0.9627805128788594	True	True	0.5275347035356979	9.296085679011412e-09	0.15778851747449807	0.5465168474314632
ret_macular_total_left	sys_sle_bentham2015	NULL	NULL	52	28	-0.12447297459120733	0.09877189626960065	-0.3180623339643454	0.06911638478193073	0.20759491919132067	0.9627805128788594	-0.0007774997592389617	0.004268492665381646	-0.009143591651660139	0.007588592133182214	0.8554661468263353	0.9627805128788594	True	True	0.04935833564812131	0.6599431295278083	0.7480893782039438	0.582437515183305
ret_macular_total_left	sys_ibd_delange2017	NULL	NULL	44	90	0.012846343405949662	0.05539193789814541	-0.09571985990829165	0.12141254672019097	0.8166023213045012	0.9627805128788594	-0.0011551247128430784	0.006697030562767012	-0.014281063419230071	0.011970813993543914	0.8630577323392445	0.9627805128788594	True	NA	0.0020805272053059376	0.28841745394154805	0.8791863278975544	0.09348629452525038
