exposure	outcome	n_iv_final	method	beta	se	ci_low	ci_high	OR	p	q_amendment004_global	heterogeneity_Q	heterogeneity_p	egger_intercept	egger_p	weighted_median	weighted_median_p	weighted_mode	weighted_mode_p	egger_beta	steiger_direction	steiger_p	variance_explained_exposure	variance_explained_outcome	presso_status	loo_status	loo_beta_min	loo_beta_max	evidence_status	pair_id	direction	retinal_trait	disease	n_iv_initial	frequency_semantics	mean_F	min_F	effect_scale	multiple_testing_family
ret_rnfl_left	sys_pd_nalls2019_clinical	15	IVW_random_effects	-0.151619061321331	0.1163988144851133	-0.3797565455553059	0.0765184229126439	0.8593155649354276	0.1927173280058799	0.9627805128788594	10.8214434489107	0.7000026685266744	-0.0023415526243229	0.7178808701597661	-0.2201541309444497	0.058573932992915	-0.2215435654932047	0.0569995041340599	-0.1612268851051441	True	3.837922846415732e-24	0.0172887305654726	0.0031603926945059	COMPUTED_NO_OUTLIER	COMPUTED	-0.1787676382852038	-0.0700205881085109	NULL	ret_rnfl_left__sys_pd_nalls2019_clinical	ret_rnfl_left_to_sys_pd_nalls2019_clinical	ret_rnfl_left	sys_pd_nalls2019_clinical	17	EFFECT_ALLELE	58.959841672128974	31.51634715346074	log_odds	BH_across_112_Amendment004_primary_directions
sys_pd_nalls2019_clinical	ret_rnfl_left	10	IVW_random_effects	-0.0187073750060808	0.0174009686384781	-0.052812646833608	0.0153978968214464	NA	0.2823404142362861	0.9627805128788594	13.80820061866696	0.1293133431555351	-0.0034663178891296	0.267471910001144	-0.027145483431684	0.0431808795582346	-0.0165516978035903	0.2176248825080701	-0.0250603129325772	True	0.0	0.1236095278382324	0.0003796003918381	COMPUTED_NO_OUTLIER	COMPUTED	-0.0273657050850598	-0.010441812250306	NULL	ret_rnfl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_rnfl_left	ret_rnfl_left	sys_pd_nalls2019_clinical	15	EFFECT_ALLELE	57.90051221977404	31.768595041322307	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_rnfl_left	sys_sle_bentham2015	15	IVW_random_effects	0.113757639780051	0.2232407635558066	-0.3237862166705397	0.5513014962306417	1.1204805320656348	0.6103500969105823	0.9627805128788594	28.128151701547115	0.0136808119111608	-0.0104117828059589	0.4102172075828183	0.1388120003245944	0.3285031076988864	0.1214367262522868	0.3926483762974537	0.0990032739050952	True	0.1074104141840621	0.0172663091722062	0.013433535176898	COMPUTED_NO_OUTLIER	COMPUTED	0.0106695783441055	0.192987961081136	NULL	ret_rnfl_left__sys_sle_bentham2015	ret_rnfl_left_to_sys_sle_bentham2015	ret_rnfl_left	sys_sle_bentham2015	17	EFFECT_ALLELE	58.64099568083215	31.51634715346074	log_odds	BH_across_112_Amendment004_primary_directions
sys_sle_bentham2015	ret_rnfl_left	28	IVW_random_effects	-0.0069063891822744	0.0050018385376732	-0.0167098125725982	0.0028970342080493	NA	0.1673496544595175	0.9627805128788594	32.7222959097767	0.2063890971615951	-0.001957180909799	0.2892984802665456	-0.0074910961014047	0.0805393713489546	-0.0055478405007636	0.1955854863668833	-0.0068960709789064	True	0.0	0.999998000001	0.0007533350451184	COMPUTED_NO_OUTLIER	COMPUTED	-0.0082084513132331	-0.0049504603875842	NULL	ret_rnfl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_rnfl_left	ret_rnfl_left	sys_sle_bentham2015	43	UNKNOWN	104.28994117494138	29.960511751951863	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_rnfl_left	sys_ibd_delange2017	13	IVW_random_effects	0.0689436260701324	0.0932271980178681	-0.113778324424468	0.251665576564733	1.071375809781125	0.4595896812048635	0.9627805128788594	17.029860628053292	0.1484775013569531	0.0020133594529618	0.729862869612422	0.0046550492155078	0.9507117341943132	-0.0264948149976342	0.7249756532481857	0.0805837855914895	True	1.3698251004529643e-38	0.014198208907425	0.0016588889313351	COMPUTED_NO_OUTLIER	COMPUTED	0.0132126637243765	0.1048336080402153	NULL	ret_rnfl_left__sys_ibd_delange2017	ret_rnfl_left_to_sys_ibd_delange2017	ret_rnfl_left	sys_ibd_delange2017	17	EFFECT_ALLELE	55.82356046103804	31.51634715346074	log_odds	BH_across_112_Amendment004_primary_directions
sys_ibd_delange2017	ret_rnfl_left	90	IVW_random_effects	0.0042887698689279	0.0063804591114973	-0.008216700194437	0.0167942399322929	NA	0.5014738143336399	0.9627805128788594	90.47407896805632	0.4365154487755883	0.0007720595746159	0.3342118512066689	0.0043374523506988	0.4892591311210266	0.002854428328001	0.6490659236133783	0.0043677128079449	NA	NA	NA	NA	COMPUTED_NO_OUTLIER	COMPUTED	0.002913830646738	0.0067312404658359	NULL	ret_rnfl_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_rnfl_left	ret_rnfl_left	sys_ibd_delange2017	117	UNKNOWN	71.21789186123773	29.86149172298345	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_gcipl_left	sys_cad_nikpay2015	30	IVW_random_effects	-0.0554521866697877	0.037510712323664	-0.12897183185861	0.0180674585190345	0.9460572567370704	0.1393267798710764	0.9627805128788594	27.363985549531044	0.5520741825727349	0.0011166108391545	0.6011593249956295	-0.0514877145091191	0.1698724964834992	-0.0793775904171742	0.0343336466657765	-0.0577228756026081	True	1.6773929356519331e-192	0.0356249528209829	0.0016255983732292	COMPUTED_NO_OUTLIER	COMPUTED	-0.0646953638390688	-0.0382296669830537	NULL	ret_gcipl_left__sys_cad_nikpay2015	ret_gcipl_left_to_sys_cad_nikpay2015	ret_gcipl_left	sys_cad_nikpay2015	34	EFFECT_ALLELE	61.6870836373318	30.40217961165432	log_odds	BH_across_112_Amendment004_primary_directions
sys_cad_nikpay2015	ret_gcipl_left	30	IVW_random_effects	-0.0132029801131301	0.0196311869787846	-0.0516793995653186	0.0252734393390584	NA	0.5012327998960036	0.9627805128788594	45.94546631997098	0.0237594757764316	0.0018657040791614	0.3498492009513142	-0.0507039049286815	0.0003033873962489	-0.0491094612639536	0.0004673666148778	-0.0179088080367411	True	0.0	0.0961566686599282	0.0011361558628485	COMPUTED_NO_OUTLIER	COMPUTED	-0.022125988758419	-0.0072989993010404	NULL	ret_gcipl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_gcipl_left	ret_gcipl_left	sys_cad_nikpay2015	41	EFFECT_ALLELE	69.09358652761719	29.88157247129896	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_gcipl_left	sys_stroke_megastroke2018	29	IVW_random_effects	0.0261049259924317	0.039532994908249	-0.0513783202287396	0.103588172213603	1.0264486439659637	0.5090404031515623	0.9627805128788594	23.00706566033949	0.7326866760709785	0.0015590402050294	0.4738422556366879	-0.0302912809576891	0.4435407510016672	-0.0110964400870201	0.7789496589447399	0.0297708128588025	True	7.770287329582401e-184	0.0349234022865753	0.0013587932094953	COMPUTED_NO_OUTLIER	COMPUTED	0.0131867086423471	0.0413104866115545	NULL	ret_gcipl_left__sys_stroke_megastroke2018	ret_gcipl_left_to_sys_stroke_megastroke2018	ret_gcipl_left	sys_stroke_megastroke2018	34	EFFECT_ALLELE	62.561296930025364	30.40217961165432	log_odds	BH_across_112_Amendment004_primary_directions
sys_stroke_megastroke2018	ret_gcipl_left	7	IVW_random_effects	0.0522076766015953	0.0399552167783724	-0.026103109278503	0.1305184624816937	NA	0.1913299692594301	0.9627805128788594	2.7248933407305613	0.8424982449095593	-0.0188609953478307	0.2484840167757711	0.077198916967509	0.0533427088758573	0.0982127395924408	0.0139685750472055	0.3120009055006809	True	1.0451272220319264e-85	0.0126013954123037	9.065819180504523e-05	COMPUTED_NO_OUTLIER	COMPUTED	0.0401780659382483	0.0708105120401595	NULL	ret_gcipl_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_gcipl_left	ret_gcipl_left	sys_stroke_megastroke2018	10	EFFECT_ALLELE	35.271851003077884	30.39364839319471	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
