pair_id	direction	initial_GWS_IV	after_clumping	matched_outcome	after_allele_harmonisation	after_frequency_QC	final_IV	frequency_semantic_warning	palindromic_warning	other_warning
ret_gcipl_left__sys_ibd_delange2017	ret_gcipl_left_to_sys_ibd_delange2017	34	34	28	21	21	21	NONE	REMOVED_7	MISSING_OUTCOME_VARIANT=6
ret_gcipl_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_gcipl_left	117	117	101	90	90	90	NONE	REMOVED_11	MISSING_OUTCOME_VARIANT=16
ret_inl_left__sys_cad_nikpay2015	ret_inl_left_to_sys_cad_nikpay2015	65	65	62	59	59	59	NONE	REMOVED_3	MISSING_OUTCOME_VARIANT=3
ret_inl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_inl_left	41	41	32	30	30	30	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=9
ret_inl_left__sys_stroke_megastroke2018	ret_inl_left_to_sys_stroke_megastroke2018	65	65	62	60	60	60	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=3
ret_inl_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_inl_left	10	10	7	7	7	7	NONE	NONE	MISSING_OUTCOME_VARIANT=3
ret_inl_left__sys_t2d_scott2017	ret_inl_left_to_sys_t2d_scott2017	65	65	62	54	54	54	NONE	REMOVED_8	MISSING_OUTCOME_VARIANT=3
ret_inl_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_inl_left	40	40	33	28	28	28	NONE	REMOVED_5	MISSING_OUTCOME_VARIANT=7
ret_inl_left__sys_ckd_wuttke2019	ret_inl_left_to_sys_ckd_wuttke2019	65	65	61	59	59	59	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=4
ret_inl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_inl_left	23	23	17	16	16	16	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=6
ret_inl_left__sys_ad_kunkle2019	ret_inl_left_to_sys_ad_kunkle2019	65	65	62	60	60	60	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=3
ret_inl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_inl_left	19	19	18	18	18	18	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_inl_left__sys_pd_nalls2019_clinical	ret_inl_left_to_sys_pd_nalls2019_clinical	65	65	59	57	57	57	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=6
ret_inl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_inl_left	15	15	10	10	10	10	NONE	NONE	MISSING_OUTCOME_VARIANT=5
ret_inl_left__sys_sle_bentham2015	ret_inl_left_to_sys_sle_bentham2015	65	65	56	54	54	54	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=9
ret_inl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_inl_left	43	43	29	28	28	28	NONE	NONE	INCOMPATIBLE_ALLELES=1;MISSING_OUTCOME_VARIANT=14
ret_inl_left__sys_ibd_delange2017	ret_inl_left_to_sys_ibd_delange2017	65	65	56	49	49	49	NONE	REMOVED_7	MISSING_OUTCOME_VARIANT=9
ret_inl_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_inl_left	117	117	101	90	90	90	NONE	REMOVED_11	MISSING_OUTCOME_VARIANT=16
ret_inl_elm_left__sys_cad_nikpay2015	ret_inl_elm_left_to_sys_cad_nikpay2015	84	84	79	77	77	77	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=5
ret_inl_elm_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_inl_elm_left	41	41	32	30	30	30	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=9
ret_inl_elm_left__sys_stroke_megastroke2018	ret_inl_elm_left_to_sys_stroke_megastroke2018	84	84	78	76	76	76	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=6
ret_inl_elm_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_inl_elm_left	10	10	7	7	7	7	NONE	NONE	MISSING_OUTCOME_VARIANT=3
ret_inl_elm_left__sys_t2d_scott2017	ret_inl_elm_left_to_sys_t2d_scott2017	84	84	80	68	68	68	NONE	REMOVED_12	MISSING_OUTCOME_VARIANT=4
ret_inl_elm_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_inl_elm_left	40	40	33	28	28	28	NONE	REMOVED_5	MISSING_OUTCOME_VARIANT=7
ret_inl_elm_left__sys_ckd_wuttke2019	ret_inl_elm_left_to_sys_ckd_wuttke2019	84	84	78	76	76	76	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=6
ret_inl_elm_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_inl_elm_left	23	23	17	16	16	16	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=6
ret_inl_elm_left__sys_ad_kunkle2019	ret_inl_elm_left_to_sys_ad_kunkle2019	84	84	80	78	78	78	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=4
ret_inl_elm_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_inl_elm_left	19	19	18	18	18	18	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_inl_elm_left__sys_pd_nalls2019_clinical	ret_inl_elm_left_to_sys_pd_nalls2019_clinical	84	84	75	73	73	73	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=9
ret_inl_elm_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_inl_elm_left	15	15	10	10	10	10	NONE	NONE	MISSING_OUTCOME_VARIANT=5
ret_inl_elm_left__sys_sle_bentham2015	ret_inl_elm_left_to_sys_sle_bentham2015	84	84	67	64	64	64	NONE	REMOVED_3	MISSING_OUTCOME_VARIANT=17
ret_inl_elm_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_inl_elm_left	43	43	29	28	28	28	NONE	NONE	INCOMPATIBLE_ALLELES=1;MISSING_OUTCOME_VARIANT=14
ret_inl_elm_left__sys_ibd_delange2017	ret_inl_elm_left_to_sys_ibd_delange2017	84	84	71	60	60	60	NONE	REMOVED_11	MISSING_OUTCOME_VARIANT=13
ret_inl_elm_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_inl_elm_left	117	117	101	90	90	90	NONE	REMOVED_11	MISSING_OUTCOME_VARIANT=16
ret_elm_isos_left__sys_cad_nikpay2015	ret_elm_isos_left_to_sys_cad_nikpay2015	22	22	22	20	20	20	NONE	REMOVED_2	NONE
ret_elm_isos_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_elm_isos_left	41	41	32	30	30	30	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=9
ret_elm_isos_left__sys_stroke_megastroke2018	ret_elm_isos_left_to_sys_stroke_megastroke2018	22	22	22	20	20	20	NONE	REMOVED_2	NONE
ret_elm_isos_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_elm_isos_left	10	10	7	7	7	7	NONE	NONE	MISSING_OUTCOME_VARIANT=3
ret_elm_isos_left__sys_t2d_scott2017	ret_elm_isos_left_to_sys_t2d_scott2017	22	22	22	19	19	19	NONE	REMOVED_3	NONE
ret_elm_isos_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_elm_isos_left	40	40	33	28	28	28	NONE	REMOVED_5	MISSING_OUTCOME_VARIANT=7
ret_elm_isos_left__sys_ckd_wuttke2019	ret_elm_isos_left_to_sys_ckd_wuttke2019	22	22	21	19	19	19	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=1
ret_elm_isos_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_elm_isos_left	23	23	17	16	16	16	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=6
ret_elm_isos_left__sys_ad_kunkle2019	ret_elm_isos_left_to_sys_ad_kunkle2019	22	22	22	20	20	20	NONE	REMOVED_2	NONE
ret_elm_isos_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_elm_isos_left	19	19	18	18	18	18	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_elm_isos_left__sys_pd_nalls2019_clinical	ret_elm_isos_left_to_sys_pd_nalls2019_clinical	22	22	18	17	17	17	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=4
ret_elm_isos_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_elm_isos_left	15	15	10	10	10	10	NONE	NONE	MISSING_OUTCOME_VARIANT=5
ret_elm_isos_left__sys_sle_bentham2015	ret_elm_isos_left_to_sys_sle_bentham2015	22	22	18	17	17	17	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=4
ret_elm_isos_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_elm_isos_left	43	43	29	28	28	28	NONE	NONE	INCOMPATIBLE_ALLELES=1;MISSING_OUTCOME_VARIANT=14
ret_elm_isos_left__sys_ibd_delange2017	ret_elm_isos_left_to_sys_ibd_delange2017	22	22	18	16	16	16	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=4
ret_elm_isos_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_elm_isos_left	117	117	101	90	90	90	NONE	REMOVED_11	MISSING_OUTCOME_VARIANT=16
ret_isos_rpe_left__sys_cad_nikpay2015	ret_isos_rpe_left_to_sys_cad_nikpay2015	51	51	49	48	48	48	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=2
ret_isos_rpe_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_isos_rpe_left	41	41	32	30	30	30	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=9
ret_isos_rpe_left__sys_stroke_megastroke2018	ret_isos_rpe_left_to_sys_stroke_megastroke2018	51	51	47	46	46	46	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=4
ret_isos_rpe_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_isos_rpe_left	10	10	7	7	7	7	NONE	NONE	MISSING_OUTCOME_VARIANT=3
ret_isos_rpe_left__sys_t2d_scott2017	ret_isos_rpe_left_to_sys_t2d_scott2017	51	51	49	43	43	43	NONE	REMOVED_6	MISSING_OUTCOME_VARIANT=2
ret_isos_rpe_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_isos_rpe_left	40	40	33	28	28	28	NONE	REMOVED_5	MISSING_OUTCOME_VARIANT=7
ret_isos_rpe_left__sys_ckd_wuttke2019	ret_isos_rpe_left_to_sys_ckd_wuttke2019	51	51	49	48	48	48	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=2
ret_isos_rpe_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_isos_rpe_left	23	23	17	16	16	16	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=6
ret_isos_rpe_left__sys_ad_kunkle2019	ret_isos_rpe_left_to_sys_ad_kunkle2019	51	51	49	48	48	48	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=2
ret_isos_rpe_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_isos_rpe_left	19	19	18	18	18	18	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_isos_rpe_left__sys_pd_nalls2019_clinical	ret_isos_rpe_left_to_sys_pd_nalls2019_clinical	51	51	47	46	46	46	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=4
ret_isos_rpe_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_isos_rpe_left	15	15	10	10	10	10	NONE	NONE	MISSING_OUTCOME_VARIANT=5
ret_isos_rpe_left__sys_sle_bentham2015	ret_isos_rpe_left_to_sys_sle_bentham2015	51	51	41	40	40	40	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=10
ret_isos_rpe_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_isos_rpe_left	43	43	29	28	28	28	NONE	NONE	INCOMPATIBLE_ALLELES=1;MISSING_OUTCOME_VARIANT=14
ret_isos_rpe_left__sys_ibd_delange2017	ret_isos_rpe_left_to_sys_ibd_delange2017	51	51	48	42	42	42	NONE	REMOVED_6	MISSING_OUTCOME_VARIANT=3
ret_isos_rpe_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_isos_rpe_left	117	117	101	90	90	90	NONE	REMOVED_11	MISSING_OUTCOME_VARIANT=16
ret_macular_total_left__sys_cad_nikpay2015	ret_macular_total_left_to_sys_cad_nikpay2015	66	66	62	61	61	61	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=4
ret_macular_total_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_macular_total_left	41	41	32	30	30	30	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=9
ret_macular_total_left__sys_stroke_megastroke2018	ret_macular_total_left_to_sys_stroke_megastroke2018	66	66	61	60	60	60	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=5
ret_macular_total_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_macular_total_left	10	10	7	7	7	7	NONE	NONE	MISSING_OUTCOME_VARIANT=3
ret_macular_total_left__sys_t2d_scott2017	ret_macular_total_left_to_sys_t2d_scott2017	66	66	62	56	56	56	NONE	REMOVED_6	MISSING_OUTCOME_VARIANT=4
ret_macular_total_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_macular_total_left	40	40	33	28	28	28	NONE	REMOVED_5	MISSING_OUTCOME_VARIANT=7
ret_macular_total_left__sys_ckd_wuttke2019	ret_macular_total_left_to_sys_ckd_wuttke2019	66	66	56	54	54	54	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=10
ret_macular_total_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_macular_total_left	23	23	17	16	16	16	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=6
ret_macular_total_left__sys_ad_kunkle2019	ret_macular_total_left_to_sys_ad_kunkle2019	66	66	62	60	60	60	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=4
ret_macular_total_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_macular_total_left	19	19	18	18	18	18	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_macular_total_left__sys_pd_nalls2019_clinical	ret_macular_total_left_to_sys_pd_nalls2019_clinical	66	66	54	53	53	53	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=12
ret_macular_total_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_macular_total_left	15	15	10	10	10	10	NONE	NONE	MISSING_OUTCOME_VARIANT=5
ret_macular_total_left__sys_sle_bentham2015	ret_macular_total_left_to_sys_sle_bentham2015	66	66	54	52	52	52	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=12
ret_macular_total_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_macular_total_left	43	43	29	28	28	28	NONE	NONE	INCOMPATIBLE_ALLELES=1;MISSING_OUTCOME_VARIANT=14
ret_macular_total_left__sys_ibd_delange2017	ret_macular_total_left_to_sys_ibd_delange2017	66	66	48	44	44	44	NONE	REMOVED_4	MISSING_OUTCOME_VARIANT=18
ret_macular_total_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_macular_total_left	117	117	101	90	90	90	NONE	REMOVED_11	MISSING_OUTCOME_VARIANT=16
