pair_id	direction	initial_GWS_IV	after_clumping	matched_outcome	after_allele_harmonisation	after_frequency_QC	final_IV	frequency_semantic_warning	palindromic_warning	other_warning
ret_rnfl_left__sys_cad_nikpay2015	ret_rnfl_left_to_sys_cad_nikpay2015	17	17	16	16	16	16	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_rnfl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_rnfl_left	41	41	32	30	30	30	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=9
ret_rnfl_left__sys_stroke_megastroke2018	ret_rnfl_left_to_sys_stroke_megastroke2018	17	17	16	16	16	16	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_rnfl_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_rnfl_left	10	10	7	7	7	7	NONE	NONE	MISSING_OUTCOME_VARIANT=3
ret_rnfl_left__sys_t2d_scott2017	ret_rnfl_left_to_sys_t2d_scott2017	17	17	16	14	14	14	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=1
ret_rnfl_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_rnfl_left	40	40	33	28	28	28	NONE	REMOVED_5	MISSING_OUTCOME_VARIANT=7
ret_rnfl_left__sys_ckd_wuttke2019	ret_rnfl_left_to_sys_ckd_wuttke2019	17	17	16	16	16	16	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_rnfl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_rnfl_left	23	23	17	16	16	16	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=6
ret_rnfl_left__sys_ad_kunkle2019	ret_rnfl_left_to_sys_ad_kunkle2019	17	17	16	16	16	16	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_rnfl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_rnfl_left	19	19	18	18	18	18	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_rnfl_left__sys_pd_nalls2019_clinical	ret_rnfl_left_to_sys_pd_nalls2019_clinical	17	17	15	15	15	15	NONE	NONE	MISSING_OUTCOME_VARIANT=2
ret_rnfl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_rnfl_left	15	15	10	10	10	10	NONE	NONE	MISSING_OUTCOME_VARIANT=5
ret_rnfl_left__sys_sle_bentham2015	ret_rnfl_left_to_sys_sle_bentham2015	17	17	15	15	15	15	NONE	NONE	MISSING_OUTCOME_VARIANT=2
ret_rnfl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_rnfl_left	43	43	29	28	28	28	NONE	NONE	INCOMPATIBLE_ALLELES=1;MISSING_OUTCOME_VARIANT=14
ret_rnfl_left__sys_ibd_delange2017	ret_rnfl_left_to_sys_ibd_delange2017	17	17	15	13	13	13	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=2
ret_rnfl_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_rnfl_left	117	117	101	90	90	90	NONE	REMOVED_11	MISSING_OUTCOME_VARIANT=16
ret_gcipl_left__sys_cad_nikpay2015	ret_gcipl_left_to_sys_cad_nikpay2015	34	34	31	30	30	30	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=3
ret_gcipl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_gcipl_left	41	41	32	30	30	30	NONE	REMOVED_2	MISSING_OUTCOME_VARIANT=9
ret_gcipl_left__sys_stroke_megastroke2018	ret_gcipl_left_to_sys_stroke_megastroke2018	34	34	30	29	29	29	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=4
ret_gcipl_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_gcipl_left	10	10	7	7	7	7	NONE	NONE	MISSING_OUTCOME_VARIANT=3
ret_gcipl_left__sys_t2d_scott2017	ret_gcipl_left_to_sys_t2d_scott2017	34	34	31	24	24	24	NONE	REMOVED_7	MISSING_OUTCOME_VARIANT=3
ret_gcipl_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_gcipl_left	40	40	33	28	28	28	NONE	REMOVED_5	MISSING_OUTCOME_VARIANT=7
ret_gcipl_left__sys_ckd_wuttke2019	ret_gcipl_left_to_sys_ckd_wuttke2019	34	34	31	31	31	31	NONE	NONE	MISSING_OUTCOME_VARIANT=3
ret_gcipl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_gcipl_left	23	23	17	16	16	16	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=6
ret_gcipl_left__sys_ad_kunkle2019	ret_gcipl_left_to_sys_ad_kunkle2019	34	34	31	30	30	30	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=3
ret_gcipl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_gcipl_left	19	19	18	18	18	18	NONE	NONE	MISSING_OUTCOME_VARIANT=1
ret_gcipl_left__sys_pd_nalls2019_clinical	ret_gcipl_left_to_sys_pd_nalls2019_clinical	34	34	27	26	26	26	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=7
ret_gcipl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_gcipl_left	15	15	10	10	10	10	NONE	NONE	MISSING_OUTCOME_VARIANT=5
ret_gcipl_left__sys_sle_bentham2015	ret_gcipl_left_to_sys_sle_bentham2015	34	34	28	27	27	27	NONE	REMOVED_1	MISSING_OUTCOME_VARIANT=6
ret_gcipl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_gcipl_left	43	43	29	28	28	28	NONE	NONE	INCOMPATIBLE_ALLELES=1;MISSING_OUTCOME_VARIANT=14
