retinal_trait	retinal_domain	systemic_disease	rg	se	z	p	q_global	q_within_retinal_domain	n_snps	valid_alleles	retinal_h2	retinal_h2_se	retinal_h2_z	disease_h2	disease_h2_se	disease_h2_z	ldsc_intercept	gencov_intercept_se	retinal_mean_chi2	retinal_ratio	retinal_ldsc_intercept	retinal_ldsc_intercept_se	disease_mean_chi2	disease_ratio	disease_ldsc_intercept	disease_ldsc_intercept_se	qc_flag
ret_inl_left	neuroretina	sys_t2d_scott2017	0.0074	0.0552	0.1338	0.8935	0.9622307692307692	0.9778	919544	919276	0.2471	0.0312	7.919871794871795	0.0551	0.0046	11.978260869565219	-0.0032	0.0063	1.359	0.1874	1.0673	0.0117	1.2309	0.133	1.0307	0.0087	PASS
ret_inl_left	neuroretina	sys_ckd_wuttke2019	-0.0516	0.0675	-0.7648	0.4444	0.7807757575757576	0.8099047619047619	919544	916999	0.2471	0.0312	7.919871794871795	0.0096	0.0015	6.3999999999999995	-0.0027	0.006	1.359	0.1874	1.0673	0.0117	1.1963	0.4639	1.0911	0.0077	PASS
ret_inl_left	neuroretina	sys_ad_kunkle2019	-0.0201	0.0699	-0.2871	0.774	0.9222127659574468	0.9778	919544	919270	0.2471	0.0312	7.919871794871795	0.0553	0.0099	5.585858585858586	0.0108	0.0064	1.359	0.1874	1.0673	0.0117	1.1182	0.3241	1.0383	0.0076	PASS
ret_inl_left	neuroretina	sys_pd_nalls2019_clinical	-0.0519	0.046	-1.1299	0.2585	0.6893333333333334	0.8099047619047619	919544	918811	0.2471	0.0312	7.919871794871795	0.164	0.018	9.111111111111112	0.0093	0.0054	1.359	0.1874	1.0673	0.0117	1.0897	nan	0.988	0.0059	RATIO_NEGATIVE
ret_inl_left	neuroretina	sys_sle_bentham2015	0.1076	0.1111	0.9687	0.3327	0.7394196078431372	0.8099047619047619	919544	819644	0.2471	0.0312	7.919871794871795	0.3707	0.0653	5.67687595712098	-0.0079	0.009	1.359	0.1874	1.0673	0.0117	1.3539	0.6219	1.2201	0.0089	PASS
ret_inl_left	neuroretina	sys_ibd_delange2017	-0.0289	0.0391	-0.7386	0.4601	0.7807757575757576	0.8099047619047619	919544	892923	0.2471	0.0312	7.919871794871795	0.2137	0.0228	9.37280701754386	-0.003	0.0058	1.359	0.1874	1.0673	0.0117	1.4985	0.3731	1.186	0.0105	PASS
ret_inl_elm_left	neuroretina	sys_cad_nikpay2015	0.0322	0.0373	0.8625	0.3884	0.7794098360655737	0.8099047619047619	919544	918593	0.2928	0.0517	5.663442940038684	0.0463	0.0041	11.292682926829267	-0.0037	0.0056	1.4118	0.1655	1.0682	0.0106	1.1261	nan	0.9219	0.0079	RATIO_NEGATIVE
ret_inl_elm_left	neuroretina	sys_stroke_megastroke2018	0.0305	0.0482	0.6325	0.5271	0.7876842105263158	0.8099047619047619	919544	919170	0.2928	0.0517	5.663442940038684	0.0083	0.0011	7.545454545454545	-0.0024	0.0051	1.4118	0.1655	1.0682	0.0106	1.1404	0.3338	1.0469	0.0068	PASS
ret_inl_elm_left	neuroretina	sys_t2d_scott2017	0.001	0.0362	0.0278	0.9778	0.9872144144144145	0.9778	919544	919276	0.2928	0.0517	5.663442940038684	0.0551	0.0046	11.978260869565219	-0.0118	0.0058	1.4118	0.1655	1.0682	0.0106	1.2309	0.133	1.0307	0.0087	PASS
ret_inl_elm_left	neuroretina	sys_ckd_wuttke2019	-0.0853	0.0534	-1.5984	0.11	0.5646666666666667	0.8099047619047619	919544	916999	0.2928	0.0517	5.663442940038684	0.0096	0.0015	6.3999999999999995	0.001	0.0059	1.4118	0.1655	1.0682	0.0106	1.1963	0.4639	1.0911	0.0077	PASS
ret_inl_elm_left	neuroretina	sys_ad_kunkle2019	-0.0466	0.0724	-0.6432	0.5201	0.7876842105263158	0.8099047619047619	919544	919270	0.2928	0.0517	5.663442940038684	0.0553	0.0099	5.585858585858586	0.0023	0.0055	1.4118	0.1655	1.0682	0.0106	1.1182	0.3241	1.0383	0.0076	PASS
ret_inl_elm_left	neuroretina	sys_pd_nalls2019_clinical	-0.0464	0.0571	-0.812	0.4168	0.7794098360655737	0.8099047619047619	919544	918811	0.2928	0.0517	5.663442940038684	0.164	0.018	9.111111111111112	0.0032	0.0057	1.4118	0.1655	1.0682	0.0106	1.0897	nan	0.988	0.0059	RATIO_NEGATIVE
