pair_id	direction	n_iv_final	heterogeneity_Q	heterogeneity_p	egger_intercept	egger_p	weighted_median	weighted_median_p	weighted_mode	weighted_mode_p	loo_status	loo_beta_min	loo_beta_max	presso_status	steiger_direction	steiger_p	variance_explained_exposure	variance_explained_outcome
ret_rnfl_left__sys_cad_nikpay2015	ret_rnfl_left_to_sys_cad_nikpay2015	16	27.44300213614619	0.0253274540032519	0.0037896011875245	0.333817836077898	-0.0784925143882895	0.1197999984349677	-0.1451710222699469	0.0040136125034554	COMPUTED	-0.0771080270714096	-0.0019500657029677	COMPUTED_NO_OUTLIER	True	6.613740856240099e-82	0.0180248638753181	0.0013870427547779
ret_rnfl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_rnfl_left	30	33.23963620568244	0.2681790542118257	0.0005501264079912	0.7488409560479008	0.0188024785595617	0.1828943061726293	-0.0020886008466048	0.8823833702405899	COMPUTED	0.0035919819282728	0.0208795151358461	COMPUTED_NO_OUTLIER	True	0.0	0.0961566686599282	0.0007452109865117
ret_rnfl_left__sys_stroke_megastroke2018	ret_rnfl_left_to_sys_stroke_megastroke2018	16	10.95191865545202	0.7559952703515248	0.0044619167177357	0.0679834997999221	-0.0438002983030842	0.4219537050647577	-0.0453228962050894	0.4060008851094375	COMPUTED	-0.0504495659150032	-0.0037195709246891	COMPUTED_NO_OUTLIER	True	8.716951059036758e-97	0.0180248638753181	0.000622635726695
ret_rnfl_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_rnfl_left	7	11.554662467734724	0.0726738243172767	0.0199353423843812	0.6139511774785869	0.0846536277602523	0.0391116065914023	0.0370256945722223	0.3668885063641615	COMPUTED	0.00482194394743	0.0772591553091802	COMPUTED_NO_OUTLIER	True	1.3920657695637636e-73	0.0126013954123037	0.0002944224818638
ret_rnfl_left__sys_t2d_scott2017	ret_rnfl_left_to_sys_t2d_scott2017	14	7.86854234088249	0.8520577252831074	-0.0017469627681853	0.5811772463618489	0.032382855021958	0.6466829729839982	-0.0496187846293435	0.4824625078423578	COMPUTED	-0.0134508660060825	0.0501678871441056	COMPUTED_NO_OUTLIER	True	1.1026309952957138e-69	0.0149343422172705	0.000589523406566
ret_rnfl_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_rnfl_left	28	62.2657373317338	0.0001321073834807	-0.0014253744141302	0.5240681959476028	-0.0023130896551724	0.8501160708734112	-0.0026794681700285	0.826726377314315	COMPUTED	0.006178836992456	0.0233664688364121	COMPUTED_NO_OUTLIER	NA	NA	NA	NA
ret_rnfl_left__sys_ckd_wuttke2019	ret_rnfl_left_to_sys_ckd_wuttke2019	16	14.3854676810717	0.4965180055556109	0.0020197892058991	0.4796611903129357	-0.0303856911018266	0.5462703681201715	-0.0535527964613117	0.2876098511522508	COMPUTED	-0.0989714675906543	-0.0590168039717039	COMPUTED_NO_OUTLIER	True	3.0113960834515872e-96	0.0180248638753181	0.0007776827783875
ret_rnfl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_rnfl_left	16	34.69833073278293	0.0027141131782257	-0.0043076211647216	0.2004952296476146	-0.0218349128296826	0.2764440883626304	0.0010844460987582	0.956892724279825	COMPUTED	-0.0232924918525632	0.0076109087838409	COMPUTED_NO_OUTLIER	True	0.0	0.050369252914	0.0007662930777758
ret_rnfl_left__sys_ad_kunkle2019	ret_rnfl_left_to_sys_ad_kunkle2019	16	8.357589911178483	0.908647736111946	-0.0029650415264532	0.3656049331462557	0.1215342806366005	0.1148941665598113	0.1160521849336619	0.1322067766078141	COMPUTED	-0.0170833011228449	0.0361897274799885	COMPUTED_NO_OUTLIER	True	2.9303888996245673e-66	0.0180248638753181	0.0009087965103301
ret_rnfl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_rnfl_left	18	23.93865172582451	0.121111457515405	0.0031534882241784	0.1340888214291481	-0.0043855899720294	0.5662915013333354	-0.0076641123256141	0.3162143555170056	COMPUTED	-0.0086221116238321	0.0046784895805641	COMPUTED_NO_OUTLIER	True	0.0	0.3346634975276982	0.0005393612692716
ret_rnfl_left__sys_pd_nalls2019_clinical	ret_rnfl_left_to_sys_pd_nalls2019_clinical	15	10.8214434489107	0.7000026685266744	-0.0023415526243229	0.7178808701597661	-0.2201541309444497	0.058573932992915	-0.2215435654932047	0.0569995041340599	COMPUTED	-0.1787676382852038	-0.0700205881085109	COMPUTED_NO_OUTLIER	True	3.837922846415732e-24	0.0172887305654726	0.0031603926945059
ret_rnfl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_rnfl_left	10	13.80820061866696	0.1293133431555351	-0.0034663178891296	0.267471910001144	-0.027145483431684	0.0431808795582346	-0.0165516978035903	0.2176248825080701	COMPUTED	-0.0273657050850598	-0.010441812250306	COMPUTED_NO_OUTLIER	True	0.0	0.1236095278382324	0.0003796003918381
