pair_key	direction	status	global_p	outlier_count
ret_art_density__sys_ad_kunkle2019	ret_art_density_to_sys_ad_kunkle2019	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_art_density__sys_cad_nikpay2015	ret_art_density_to_sys_cad_nikpay2015	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_art_density__sys_ckd_wuttke2019	ret_art_density_to_sys_ckd_wuttke2019	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_art_density__sys_ibd_delange2017	ret_art_density_to_sys_ibd_delange2017	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_art_density__sys_pd_nalls2019_clinical	ret_art_density_to_sys_pd_nalls2019_clinical	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_art_density__sys_sle_bentham2015	ret_art_density_to_sys_sle_bentham2015	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_art_density__sys_stroke_megastroke2018	ret_art_density_to_sys_stroke_megastroke2018	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_art_density__sys_t2d_scott2017	ret_art_density_to_sys_t2d_scott2017	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_art_tort__sys_ad_kunkle2019	ret_art_tort_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_cad_nikpay2015	ret_art_tort_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_ckd_wuttke2019	ret_art_tort_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_ibd_delange2017	ret_art_tort_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_pd_nalls2019_clinical	ret_art_tort_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_sle_bentham2015	ret_art_tort_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_stroke_megastroke2018	ret_art_tort_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_t2d_scott2017	ret_art_tort_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_ad_kunkle2019	ret_avr_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_cad_nikpay2015	ret_avr_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_ckd_wuttke2019	ret_avr_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_ibd_delange2017	ret_avr_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
