pair_key	direction	status	global_p	outlier_count
ret_avr__sys_pd_nalls2019_clinical	ret_avr_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_sle_bentham2015	ret_avr_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_stroke_megastroke2018	ret_avr_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_t2d_scott2017	ret_avr_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_crae__sys_ad_kunkle2019	ret_crae_to_sys_ad_kunkle2019	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_crae__sys_cad_nikpay2015	ret_crae_to_sys_cad_nikpay2015	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_crae__sys_ckd_wuttke2019	ret_crae_to_sys_ckd_wuttke2019	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_crae__sys_ibd_delange2017	ret_crae_to_sys_ibd_delange2017	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_crae__sys_pd_nalls2019_clinical	ret_crae_to_sys_pd_nalls2019_clinical	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_crae__sys_sle_bentham2015	ret_crae_to_sys_sle_bentham2015	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_crae__sys_stroke_megastroke2018	ret_crae_to_sys_stroke_megastroke2018	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_crae__sys_t2d_scott2017	ret_crae_to_sys_t2d_scott2017	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_crve__sys_ad_kunkle2019	ret_crve_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_cad_nikpay2015	ret_crve_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_ckd_wuttke2019	ret_crve_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_ibd_delange2017	ret_crve_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_pd_nalls2019_clinical	ret_crve_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_sle_bentham2015	ret_crve_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_stroke_megastroke2018	ret_crve_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_t2d_scott2017	ret_crve_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_ad_kunkle2019	ret_elm_isos_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_cad_nikpay2015	ret_elm_isos_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_ckd_wuttke2019	ret_elm_isos_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_ibd_delange2017	ret_elm_isos_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_pd_nalls2019_clinical	ret_elm_isos_left_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_sle_bentham2015	ret_elm_isos_left_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_stroke_megastroke2018	ret_elm_isos_left_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_t2d_scott2017	ret_elm_isos_left_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_ad_kunkle2019	ret_gcipl_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_cad_nikpay2015	ret_gcipl_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_ckd_wuttke2019	ret_gcipl_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_ibd_delange2017	ret_gcipl_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_pd_nalls2019_clinical	ret_gcipl_left_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_sle_bentham2015	ret_gcipl_left_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_stroke_megastroke2018	ret_gcipl_left_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_t2d_scott2017	ret_gcipl_left_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_ad_kunkle2019	ret_inl_elm_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_cad_nikpay2015	ret_inl_elm_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_ckd_wuttke2019	ret_inl_elm_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_ibd_delange2017	ret_inl_elm_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_pd_nalls2019_clinical	ret_inl_elm_left_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_sle_bentham2015	ret_inl_elm_left_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_stroke_megastroke2018	ret_inl_elm_left_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_t2d_scott2017	ret_inl_elm_left_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_ad_kunkle2019	ret_inl_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_cad_nikpay2015	ret_inl_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_ckd_wuttke2019	ret_inl_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_ibd_delange2017	ret_inl_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_pd_nalls2019_clinical	ret_inl_left_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_sle_bentham2015	ret_inl_left_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_stroke_megastroke2018	ret_inl_left_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_t2d_scott2017	ret_inl_left_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_ad_kunkle2019	ret_isos_rpe_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_cad_nikpay2015	ret_isos_rpe_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_ckd_wuttke2019	ret_isos_rpe_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_ibd_delange2017	ret_isos_rpe_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_pd_nalls2019_clinical	ret_isos_rpe_left_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_sle_bentham2015	ret_isos_rpe_left_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_stroke_megastroke2018	ret_isos_rpe_left_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_t2d_scott2017	ret_isos_rpe_left_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_ad_kunkle2019	ret_macular_total_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_cad_nikpay2015	ret_macular_total_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_ckd_wuttke2019	ret_macular_total_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_ibd_delange2017	ret_macular_total_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_pd_nalls2019_clinical	ret_macular_total_left_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_sle_bentham2015	ret_macular_total_left_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_stroke_megastroke2018	ret_macular_total_left_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_t2d_scott2017	ret_macular_total_left_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_ad_kunkle2019	ret_rnfl_left_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_cad_nikpay2015	ret_rnfl_left_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_ckd_wuttke2019	ret_rnfl_left_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_ibd_delange2017	ret_rnfl_left_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_pd_nalls2019_clinical	ret_rnfl_left_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_sle_bentham2015	ret_rnfl_left_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_stroke_megastroke2018	ret_rnfl_left_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_t2d_scott2017	ret_rnfl_left_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_ad_kunkle2019	ret_ven_density_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_cad_nikpay2015	ret_ven_density_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_ckd_wuttke2019	ret_ven_density_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_ibd_delange2017	ret_ven_density_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_pd_nalls2019_clinical	ret_ven_density_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_sle_bentham2015	ret_ven_density_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_stroke_megastroke2018	ret_ven_density_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_t2d_scott2017	ret_ven_density_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_ad_kunkle2019	ret_ven_tort_to_sys_ad_kunkle2019	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_cad_nikpay2015	ret_ven_tort_to_sys_cad_nikpay2015	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_ckd_wuttke2019	ret_ven_tort_to_sys_ckd_wuttke2019	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_ibd_delange2017	ret_ven_tort_to_sys_ibd_delange2017	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_pd_nalls2019_clinical	ret_ven_tort_to_sys_pd_nalls2019_clinical	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_sle_bentham2015	ret_ven_tort_to_sys_sle_bentham2015	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_stroke_megastroke2018	ret_ven_tort_to_sys_stroke_megastroke2018	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_t2d_scott2017	ret_ven_tort_to_sys_t2d_scott2017	COMPUTED_NO_OUTLIER	NA	NA
ret_art_density__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_art_density	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_art_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_avr	COMPUTED_NO_OUTLIER	NA	NA
ret_crae__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_crae	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_crve	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_elm_isos_left	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_gcipl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_inl_elm_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_inl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_isos_rpe_left	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_macular_total_left	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_rnfl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_ven_density	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_ven_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_art_density__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_art_density	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_art_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_avr	COMPUTED_NO_OUTLIER	NA	NA
ret_crae__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_crae	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_crve	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_elm_isos_left	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_gcipl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_inl_elm_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_inl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_isos_rpe_left	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_macular_total_left	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_rnfl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_ven_density	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_ven_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_art_density__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_art_density	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_art_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_avr	COMPUTED_NO_OUTLIER	NA	NA
ret_crae__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_crae	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_crve	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_elm_isos_left	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_gcipl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_inl_elm_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_inl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_isos_rpe_left	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_macular_total_left	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_rnfl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_ven_density	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_ven_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_art_density__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_art_density	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_art_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_avr	COMPUTED_NO_OUTLIER	NA	NA
ret_crae__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_crae	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_crve	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_elm_isos_left	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_gcipl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_inl_elm_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_inl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_isos_rpe_left	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_macular_total_left	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_rnfl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_ven_density	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_ven_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_art_density__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_art_density	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_art_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_avr	COMPUTED_NO_OUTLIER	NA	NA
ret_crae__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_crae	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_crve	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_elm_isos_left	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_gcipl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_inl_elm_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_inl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_isos_rpe_left	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_macular_total_left	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_rnfl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_ven_density	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_ven_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_art_density__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_art_density	COMPUTED_NO_OUTLIER	NA	NA
ret_art_tort__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_art_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_avr__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_avr	COMPUTED_NO_OUTLIER	NA	NA
ret_crae__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_crae	COMPUTED_NO_OUTLIER	NA	NA
ret_crve__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_crve	COMPUTED_NO_OUTLIER	NA	NA
ret_elm_isos_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_elm_isos_left	COMPUTED_NO_OUTLIER	NA	NA
ret_gcipl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_gcipl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_elm_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_inl_elm_left	COMPUTED_NO_OUTLIER	NA	NA
ret_inl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_inl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_isos_rpe_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_isos_rpe_left	COMPUTED_NO_OUTLIER	NA	NA
ret_macular_total_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_macular_total_left	COMPUTED_NO_OUTLIER	NA	NA
ret_rnfl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_rnfl_left	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_density__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_ven_density	COMPUTED_NO_OUTLIER	NA	NA
ret_ven_tort__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_ven_tort	COMPUTED_NO_OUTLIER	NA	NA
ret_art_density__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_art_density	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_art_tort__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_art_tort	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_avr__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_avr	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_crae__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_crae	NOT_ELIGIBLE_LT4_IV	NA	NA
ret_crve__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_crve	NOT_ELIGIBLE_LT4_IV	NA	NA
