metric	value	status	evidence
trait_id	sys_ad_kunkle2019	PASS	full local input scan
path	data/raw/systemic/sys_ad_kunkle2019__Kunkle_etal_Stage1_results.txt.complete	PASS	full local input scan
rows	11480632	PASS	full local input scan
malformed_rows	0	PASS	full local input scan
missing_essential	0	PASS	full local input scan
missing_coordinates	0	PASS	full local input scan
duplicate_variants	0	PASS	full local input scan
duplicate_method	exact rsID, falling back to chromosome:position:alleles	PASS	full local input scan
indels_or_complex	942228	PASS	full local input scan
multiallelic_encoded	0	PASS	full local input scan
palindromic_snps	1625858	PASS	full local input scan
chromosome_x	0	PASS	full local input scan
gws_hits_before_clumping	1514	PASS	full local input scan
column_map	"{""beta"": 5, ""chr"": 0, ""ea"": 3, ""eaf"": null, ""info"": null, ""n"": null, ""oa"": 4, ""or"": null, ""p"": 7, ""pos"": 1, ""rsid"": 2, ""se"": 6}"	PASS	full local input scan
full_file_qc	COMPLETE	PASS	full local input scan
qc_verdict	PASS_WITH_SCHEMA	PASS	full local input scan
