metric	value	status	evidence
trait_id	sys_cad_nikpay2015	PASS	full local input scan
path	data/raw/systemic/sys_cad_nikpay2015__cad.add.160614.website.txt.complete	PASS	full local input scan
rows	9455778	PASS	full local input scan
malformed_rows	0	PASS	full local input scan
missing_essential	0	PASS	full local input scan
missing_coordinates	0	PASS	full local input scan
duplicate_variants	0	PASS	full local input scan
duplicate_method	exact rsID, falling back to chromosome:position:alleles	PASS	full local input scan
indels_or_complex	0	PASS	full local input scan
multiallelic_encoded	0	PASS	full local input scan
palindromic_snps	1332725	PASS	full local input scan
chromosome_x	0	PASS	full local input scan
gws_hits_before_clumping	2213	PASS	full local input scan
column_map	"{""beta"": 8, ""chr"": 1, ""ea"": 3, ""eaf"": 5, ""info"": null, ""n"": null, ""oa"": 4, ""or"": null, ""p"": 10, ""pos"": 2, ""rsid"": 0, ""se"": 9}"	PASS	full local input scan
full_file_qc	COMPLETE	PASS	full local input scan
qc_verdict	PASS_WITH_SCHEMA	PASS	full local input scan
