metric	value	status	evidence
trait_id	sys_sle_bentham2015	PASS	full local input scan
path	data/raw/systemic/sys_sle_bentham2015__bentham_2015_26502338_sle_efo0002690_1_gwas.sumstats.tsv.gz.complete	PASS	full local input scan
rows	7915251	PASS	full local input scan
malformed_rows	0	PASS	full local input scan
missing_essential	0	PASS	full local input scan
missing_coordinates	0	PASS	full local input scan
duplicate_variants	2407	PASS	full local input scan
duplicate_method	exact rsID, falling back to chromosome:position:alleles	PASS	full local input scan
indels_or_complex	0	PASS	full local input scan
multiallelic_encoded	0	PASS	full local input scan
palindromic_snps	1148324	PASS	full local input scan
chromosome_x	178770	PASS	full local input scan
gws_hits_before_clumping	15891	PASS	full local input scan
column_map	"{""beta"": 6, ""chr"": 0, ""ea"": 4, ""eaf"": null, ""info"": null, ""n"": null, ""oa"": 3, ""or"": 8, ""p"": 5, ""pos"": 1, ""rsid"": 2, ""se"": 7}"	PASS	full local input scan
full_file_qc	COMPLETE	PASS	full local input scan
qc_verdict	PASS_WITH_SCHEMA	PASS	full local input scan
